"","Correct_model_perc","Correct_model_pvalues","Correct_model_mean","Correct_model_sd","Correct_model_kurt","Correct_model_skew","Null_model_perc","Null_model_pvalues","Null_model_mean","Null_model_sd","Null_model_kurt","Null_model_skew","Percentage_difference","P_value"
"1",57,1.37466218685993e-09,-0.853838330117218,1.37562354006557,4.2919014221584,1.18033205236058,59.5,2.64586965111252e-07,-0.925010035791343,1.52728014319459,2.15087072104712,0.473494281032417,2.5,0
"2",65,6.72564002365122e-09,-0.846811965745638,1.30209068120551,3.64675627387067,1.0270106918005,44.5,2.66218733947811e-05,-0.889113169129625,1.43065144882685,2.60095652222417,0.52236559152705,-20.5,0
"3",51,7.48233155866666e-09,-0.817394602529497,1.18920919616519,4.5039668031692,1.15188569945671,50.5,9.83138365110541e-06,-0.840348715979384,1.44308021034026,2.67701692541534,0.593819086009069,-0.5,0
"4",63,1.31309414740679e-09,-0.763353533433693,1.34745909971851,3.67671287447773,1.03253145030758,38.5,6.42791902030468e-05,-0.735754511799567,1.50389658334427,2.47232707321614,0.460015308299618,-24.5,0
"5",38,1.10064552606573e-07,-0.672648994226827,1.38259623048096,3.69408873939825,0.914935276779404,69,1.49790788822728e-06,-0.866155580543999,1.50858353145981,2.49287808214962,0.583011714731581,31,0
"6",66.5,1.95727621297944e-07,-0.830894505072198,1.26376169044105,4.06703285755315,0.974352144053168,47,1.01634337999531e-05,-0.917253747973877,1.38444210837915,2.66213015937291,0.571909775641911,-19.5,0
"7",68,2.32256524987516e-08,-0.793874507667222,1.31416705724227,3.38927465570597,0.922838978546027,53.5,1.55583029742709e-05,-0.858992039064516,1.41231214699517,2.50637208447295,0.525494857880198,-14.5,0
"8",62,1.32877050420065e-10,-0.711393504656006,1.27828201817045,3.83932295116546,1.15788359339074,48.5,8.98814491845022e-05,-0.708189411530742,1.45629831158919,2.5515568498546,0.452838827941794,-13.5,0
"9",41.5,3.51827922572455e-07,-0.809003045947054,1.27060939377273,3.63805853094207,0.900607241201792,58,1.61903021745683e-06,-0.792060500369512,1.49348429349747,2.55398642978856,0.593704760398884,16.5,0
"10",30,2.65335419106765e-08,-0.792639029908193,1.3058807605083,4.2451035829006,1.06129690726357,62,1.34851853173778e-06,-0.951116734033877,1.50070729551061,2.44469481269114,0.569073328795481,32,0
"11",40,6.6133248161867e-08,-0.671086889057231,1.30709682470138,3.71624255070212,0.920447837887978,46,9.73997850410893e-05,-0.771505257484208,1.45022852880689,2.53880103981686,0.459527580290033,6,0
"12",58,5.06647573626691e-10,-0.724474318574108,1.34838765919818,4.12229431403419,1.17900494374809,54,9.1109253663795e-07,-0.842971106427713,1.53067512875316,2.46912711163981,0.572922080099095,-4,0
"13",26.5,6.01906641702924e-08,-0.622743238973556,1.22963804480698,3.89046223470022,1.00649216057802,31.5,9.16158000843997e-05,-0.680822946833779,1.54008451616038,2.25618949615765,0.329543824404576,5,0
