"","Correct_model_perc","Correct_model_pvalues","Correct_model_mean","Correct_model_sd","Correct_model_kurt","Correct_model_skew","Null_model_perc","Null_model_pvalues","Null_model_mean","Null_model_sd","Null_model_kurt","Null_model_skew","Percentage_difference","P_value"
"1",4,3.15971790016033e-05,-0.845473262225224,1.5016680058041,4.63702252484562,1.39594144040724,2,0.0431553184297397,-0.824216373465035,1.8164924997445,1.96206172618044,0.265414135100391,-2,0
"2",22,0.000164024312632995,-0.781281271928897,1.82473176274942,3.52371524036906,1.10614045969821,10,0.0168443421095321,-0.896809953017228,1.76791561495276,1.91863062537177,0.311024807321004,-12,0
"3",0,0.00238284634551731,-0.783579277122705,1.67723878509303,3.59531704363221,0.943623099802655,10,0.141303529964396,-0.633840051249533,1.64845659877597,2.07027204365943,0.118400548823097,10,0
"4",42,1.05345206087181e-05,-0.691654629886439,1.64765980970232,3.56111359468277,1.23335949420895,0,0.0850351299814044,-0.884950421387027,1.82870376069366,2.31016672736467,0.388913428157006,-42,0
"5",30,0.00170830628982727,-0.747903371436071,1.62847150236216,2.78893951497608,0.818897966388751,32,0.00768276134355261,-1.03302127137715,1.96703542489681,2.07009053509344,0.453340606778374,2,0
"6",22,7.00641843734545e-05,-0.699336241009005,1.74414902253742,3.32451838992701,1.10922044982336,26,0.00693616427404826,-0.757667751111347,1.99879869852248,1.93970724836462,0.409250697322487,4,0
"7",18,7.09191446273394e-05,-0.738951750596518,1.47955185024014,3.82637835957627,1.22289655136637,2,0.0968123236055177,-0.878290061596471,1.8778076687409,2.27621160625246,0.363082592176221,-16,0
"8",40,0.0001368765063289,-0.874018303836268,1.62359369159247,3.07762453017123,1.00894676489535,18,0.00399838813269194,-1.08744932169906,1.95315440281866,2.70454125168376,0.759193010285501,-22,0
"9",10,0.00198953756895037,-0.910325377405854,1.54532224719666,3.77617851743605,1.04493425783296,12,0.0333780281402284,-0.995686598690919,1.84451947323483,2.59355653895575,0.593563389053134,2,0
"10",48,9.40202272132603e-06,-0.964954487134166,1.88168422055011,3.52467218687407,1.21494645772722,36,0.000338779784048477,-1.12925797889709,1.8011860500121,2.48531976757075,0.789360048492288,-12,0
"11",30,8.42868525028211e-05,-0.539037409675018,1.63209130885968,3.61178935009403,1.15795426387308,20,0.004365719042727,-0.795450199125471,1.86587349428653,1.85627395771884,0.329938889068913,-10,0
"12",42,1.23255743734206e-05,-0.661321240717696,1.53308304926203,3.63978951204705,1.23830694286735,24,0.0139072708450159,-0.968824003719553,1.87106810559367,2.26068118460859,0.50372898424873,-18,0
"13",24,4.97619302697778e-05,-0.912936426051232,1.69176818519639,4.00388446663533,1.27602582688721,14,0.0104560094500702,-0.93439988230536,2.17601351110569,2.48775442291049,0.621717222151346,-10,0
"14",22,0.000525524065090745,-0.731819133117264,1.59291350090165,3.1764765302085,0.996778343659468,4,0.0371660110455291,-0.829802855037388,1.726953012407,2.41871325138075,0.485613265449986,-18,0
"15",6,2.23063441984748e-05,-0.683783954640378,1.4937920856237,4.73769470553087,1.44581898435219,22,0.00718833459598867,-0.916775266175632,1.85942564189961,1.82969620216922,0.312751093330047,16,0
"16",46,3.60331886024506e-07,-0.840228635684491,1.71909966307991,3.53344901465996,1.33292469928831,28,0.00139439585562222,-1.22023481842503,1.60764667480145,2.4064174784839,0.717242239966548,-18,0
"17",24,0.00224072104156741,-0.744385803544413,1.49275108129545,3.65968193892994,1.01370322141788,12,0.00284608188470722,-1.23372048943362,1.68763941616914,2.06403952879681,0.521457441986309,-12,0
"18",42,0.000849261823874651,-0.831103577971274,1.33852363228211,3.50747341427718,1.02143071936444,24,0.00497994214744823,-0.801539118710533,1.87097882780983,2.02348620689245,0.473964911221544,-18,0
"19",44,1.62456933148594e-05,-0.788633605203001,1.61846795666914,3.44921755873509,1.18775680852332,36,0.00133669245723866,-1.06979894303917,1.72967119396112,2.02072916457116,0.524464721621376,-8,0
"20",38,2.52100029149854e-06,-0.734636780713105,1.79154484531048,3.20727524114524,1.19938891098777,28,0.0126693606194363,-1.03940073054662,1.83550461611684,2.25541891070151,0.531603836809403,-10,0
"21",42,4.51307817732972e-06,-0.805285145162351,1.87326763110442,3.13509024165386,1.15850659869586,26,0.00662322842589855,-1.02759325444251,1.83848673961597,1.92831266775218,0.409696648566609,-16,0
"22",26,0.000107315635451593,-0.855691298925078,1.56607130652652,3.54260292405997,1.14843764420919,6,0.291167580769911,-0.808361048300013,1.84913612576987,2.491832378549,0.376306754641385,-20,0
"23",38,0.000527706230847714,-1.01465211350369,1.52166348177217,3.28287400718041,1.01933698751702,26,0.0075361115789446,-0.871900388019638,1.90722384582359,2.13210660770054,0.505854787223038,-12,0
"24",12,4.92734912260545e-05,-0.711364759041658,1.70621510602239,3.88899732028502,1.25992374605423,12,0.0261961046024619,-0.902904691290349,2.06594828660436,2.01622071501569,0.381901373959343,0,0
"25",48,2.6701357287497e-07,-0.737908191841307,1.67261339782383,3.63411439791889,1.3757182758499,2,0.0365194976347823,-1.14599379741957,1.95776514335316,2.28756126751973,0.453301765123228,-46,0
"26",40,8.51266833938089e-06,-0.694397196355688,1.62215917610228,3.0906250858823,1.13408957804694,0,0.293067201618129,-0.88414468477904,1.65125721732906,2.39395902889267,0.309884574531109,-40,0
"27",46,0.000819230385385048,-0.858414097800882,1.432539985384,3.26911997788209,0.973547219117956,18,0.0161926261870285,-0.852794613597692,1.76147553338575,2.24519249070708,0.491810069396504,-28,0
"28",22,3.65568600293721e-05,-0.863660048721504,1.81733604885293,4.43351313773858,1.37172473939788,34,0.000990215289620839,-0.893866137260598,1.94342354707361,2.49714032749345,0.722320779648887,12,0
"29",20,0.000804956369746112,-0.695623263779081,1.69178071931336,3.14283338466618,0.936478021819828,24,0.00812298677753525,-0.647452915046039,1.91385199959162,2.01628253924976,0.416716949610306,4,0
"30",34,8.20377066202445e-07,-0.812119732363678,1.78751224346515,4.14478147093473,1.46714501714915,14,0.0122921110632312,-1.00463499627431,1.94156868451522,2.39846791942531,0.601554625027436,-20,0
"31",38,1.10073213690124e-05,-0.768786963464052,1.71668685237791,3.74840394019026,1.28552644882758,28,0.00479393949168591,-1.04967877966663,1.79325041153542,2.42528266998225,0.647920340213645,-10,0
"32",42,2.0074030058064e-06,-0.696917288296052,1.84440990656062,3.46262363349302,1.26430834606536,34,0.00317436485299132,-0.778575557652243,1.9486028914599,2.08523326106157,0.5323812790396,-8,0
"33",32,0.000193347617390824,-0.716173225661737,1.62710125848324,3.20942008496767,1.02862497376574,18,0.017553360181956,-0.998097331449132,1.92368337437859,2.24495859080882,0.511497228229077,-14,0
"34",26,1.37565879870566e-05,-0.894213214688177,1.66350189173118,3.87687801701829,1.29757450111049,2,0.506572537611106,-0.633726999333577,1.76219992913523,2.59062040712307,0.264509694833709,-24,0
"35",38,3.84379292933389e-06,-0.751173063860683,1.88223981593145,3.39503154475966,1.2332323010019,30,0.0109910756906055,-0.725433642035074,1.92358551542174,2.24940276804519,0.488738679949632,-8,0
"36",2,5.05987448094473e-06,-0.600671236561986,1.87956590109566,3.70191852858317,1.30200791070805,22,0.0234048442117952,-0.593289515301882,1.76820195521748,2.14532315107824,0.40524657530846,20,0
"37",22,5.3554573485702e-05,-0.674906842521198,1.57993067707704,3.71385004677,1.20028844337256,10,0.00942044909208157,-0.777271136502212,1.93827170444537,2.53864534206797,0.664078861613117,-12,0
"38",42,4.65352388472956e-06,-0.722769997884888,1.68980037490915,3.4581997606114,1.24659408394594,28,0.00851363845935382,-1.12101375932073,1.82863734230623,2.08454070650736,0.469231023877983,-14,0
"39",20,6.35423874173198e-06,-0.752232318839229,1.80081585391586,3.98595602667413,1.36373869087783,20,0.0331451019374693,-0.806952533584989,2.05312370512213,2.14123696255438,0.426612918971563,0,0
"40",28,9.58738906092315e-06,-0.687536881758125,1.88484748435015,3.17443727600202,1.15166868904835,2,0.273678891460739,-0.893338705901887,1.89470914289485,2.12410427880858,0.108590670284238,-26,0
"41",42,4.52103423831043e-05,-0.875939961969542,1.69563028483599,3.3119099973825,1.11079385475561,50,0.000234499358248648,-1.13905424221886,1.98927101356482,2.28443130069836,0.750657108897037,8,0
"42",44,0.000650367438135744,-0.925895015380942,1.71493742735682,2.82658083489873,0.824456696016387,24,0.00373731191117077,-0.74025841383759,1.85920869961522,2.27290395384138,0.605736178439684,-20,0
"43",44,1.45217910751348e-05,-0.769324263262139,1.62469433023727,2.85052460500016,1.04417076786581,34,0.00370613322112607,-0.964672124934843,2.09639190249474,2.5292892792921,0.697543277603683,-10,0
