"","Correct_model_perc","Correct_model_pvalues","Correct_model_mean","Correct_model_sd","Correct_model_kurt","Correct_model_skew","Null_model_perc","Null_model_pvalues","Null_model_mean","Null_model_sd","Null_model_kurt","Null_model_skew","Percentage_difference","P_value"
"1",49,0.000577845716756177,-0.433405497793477,1.64205115146647,2.73988800469549,0.63546101973368,0,0.138893750642868,-0.69152265590306,1.79021744369635,2.24246525417701,-0.0507061292722114,-49,0
"2",54,1.12068101123251e-05,-0.713876302203949,1.5727847327071,2.90943516302551,0.837222074866324,36,0.000814876654401154,-1.11961706404521,1.70809875578759,2.36393306987081,0.544961763874111,-18,0
"3",45,4.56759829760365e-05,-0.630369713326049,1.49020395831512,3.29734088806606,0.892092547761171,15,0.00224211812268903,-1.16201204749198,1.69316974435894,2.28035432921341,0.434929506855971,-30,0
"4",2,0.00742670253461646,-0.550677936553265,1.61447522758515,2.77310628394012,0.593986676009208,1,0.00196438585955664,-0.723591441444879,1.8151262793125,1.89682043004023,-0.0869360495877511,-1,0
"5",51,0.000315621562626675,-0.741423313584351,1.49318764966648,2.57118830106304,0.630784617240189,23,0.00424521019904483,-0.97975429782367,1.72499899390436,2.06831404194617,0.210314229126898,-28,0
"6",3,1.38631088933397e-05,-0.4610568093421,1.61861875685386,3.35588956498668,0.950026870656959,27,0.0121501347854882,-0.566918205839569,1.74456317500295,2.07735966742805,0.23717090457918,24,0
"7",10,0.0023096652277538,-0.767074523522241,1.4354623959075,3.08320768489888,0.687169346676022,11,0.0492500985347101,-0.916726587836605,1.72431612079795,2.1893605671742,0.0559989862645433,1,0
"8",37,0.000454344074045945,-0.541894032839683,1.61743164459089,2.58960403834309,0.649134936456279,7,0.00319107157708166,-0.772261405308729,1.73307488960307,2.041056618704,0.142459519312336,-30,0
"9",19,0.000105371930785524,-0.754876931426761,1.49739496772828,3.52699372507113,0.93527057554294,26,0.0014312470513639,-0.882534961195888,1.80778175551544,2.00813935818792,0.305788434702457,7,0
"10",2,0.000621663280952005,-0.604013162801982,1.46505881371739,3.55210858452424,0.839291906066418,11,0.0470824491462894,-0.61261621170445,1.90584448997967,2.20615426647675,0.146297390593432,9,0
"11",38,3.96356082759679e-06,-0.682327738699558,1.48220318143929,3.7672746196014,1.07834355325716,19,0.00491781772155739,-1.14663793792109,1.64074253764489,2.757480092458,0.582014920675245,-19,0
"12",18,3.18431718095423e-05,-0.636892712450547,1.50405532901715,3.64275262495783,0.983641751288789,27,0.00151764610274887,-0.752210836698363,1.81090933112912,2.21988547783009,0.384365530071829,9,0
"13",35,0.000317132848578145,-0.448364840894647,1.7326283963649,2.95958793710486,0.738722748109128,29,0.0015587802282149,-0.661219518838651,1.88474937660727,1.89282202024809,0.195651311396113,-6,0
"14",36,6.07469975321486e-05,-0.618916628878328,1.6817925994912,2.91213921370604,0.796804883929688,21,0.0194220155375337,-0.81131900463709,1.78270525938599,2.33262332363023,0.29124262174826,-15,0
"15",20,0.00223874308158809,-0.636743386601096,1.52291433096277,3.24381355701916,0.72478246712023,28,0.000566370003376347,-0.937435686110728,1.94753496164544,2.16283912987056,0.42538953541387,8,0
"16",27,0.000390523156145497,-0.476133456949152,1.5589010294662,2.96120993587813,0.714741596098427,15,0.0118097742608753,-0.748481425655473,1.82062507373842,2.12995025273863,0.254429886159144,-12,0
"17",22,0.0113126692314041,-0.565108415259236,1.44200589556074,2.80007963966208,0.546517172754495,0,0.0988032667692039,-0.687586296302433,1.75430853245442,2.15761081424861,0.0180113848556871,-22,0
"18",45,0.000148014129148612,-0.585085892551797,1.45364290679649,2.75579039027675,0.737753526226701,6,0.0954961427017642,-0.831812157034551,1.72579878305489,2.34874719759789,0.225840912970119,-39,0
"19",5,0.000106962715268842,-0.719050308724008,1.55993864492407,3.99176739967651,0.962571084845315,18,0.059478551330173,-0.881382012231574,1.74217808438202,2.15400330789574,0.148596214524684,13,0
"20",2,0.00047639689430793,-0.583409494351545,1.62273269373071,3.24064319062497,0.717749355408031,5,0.000704103059437821,-0.630800887894524,1.9247981907012,1.81866364610008,-0.046553274409367,3,0
"21",14,0.00137085123015385,-0.704790310611506,1.53246923519824,3.01409395626598,0.706003291341429,16,0.00348929053979877,-0.758482195731073,1.85765808219949,1.97207259286462,0.187491121491179,2,0
"22",9,0.00214780423968042,-0.646610861667506,1.6591980331571,3.09164232394856,0.700359965439234,21,0.00272429377897735,-0.68875109853949,1.83627020187868,1.99615766313245,0.216338381195133,12,0
"23",55,1.45202233484702e-06,-0.528363380681813,1.67210985294145,3.1639498486707,0.991618122405188,9,0.0141468597952451,-0.761260570453483,1.83389136586049,2.02836682340843,0.119648102567288,-46,0
"24",38,0.000260442937580864,-0.606518424030124,1.44796497470786,2.85389910590984,0.701214205428766,13,0.0246594510788217,-1.00354531192046,1.64312860655747,2.24351970376581,0.21436109259744,-25,0
"25",47,1.39484838042534e-05,-0.635960031194746,1.64571530801119,3.16653621817678,0.913444996887949,18,0.0129268098206671,-0.881284160162208,1.75933070984303,1.99745944731035,0.164101424823378,-29,0
"26",15,0.00038966633438934,-0.594090893670954,1.56063847633659,3.17686151911754,0.803217123651176,18,0.0195282154665227,-0.648142792463193,1.76372506530316,2.05888274932328,0.18594288973947,3,0
"27",32,0.000939830721526876,-0.534282504835855,1.5459642152951,2.63788358821038,0.617001858911694,8,0.0381526913165801,-0.697716780991423,1.8346417585585,2.13699422832088,0.0784430725134877,-24,0
"28",28,0.00158323429056912,-0.674587767812051,1.59042590917035,2.62336200374929,0.585546990745648,16,0.00649367354387716,-1.05436254802665,1.8719980306355,2.54979604598477,0.406256391470201,-12,0
"29",62,6.13217592311028e-05,-0.556841218391449,1.6115337496743,2.45117556228285,0.656564596238502,2,0.0306820365242835,-0.715551263625402,1.84592213627836,2.01985369832361,0.111923749092932,-60,0
"30",29,9.93573104769767e-05,-0.583610429670659,1.65726003464245,2.940994783484,0.777272542756693,5,0.145568177724798,-0.6189798981551,1.71130987966425,2.44168475378532,0.279726114532532,-24,0
"31",18,0.00866082706530527,-0.485135398787925,1.54094300096568,2.65055822120052,0.536627151026116,5,0.0694573592490634,-0.486291167592455,1.88325827795081,2.28496824706654,0.0695432179997753,-13,0
"32",39,8.3393334082533e-05,-0.662142137569149,1.47801790490615,3.0255999568152,0.814580476152623,15,0.0166858375636676,-0.92100952403308,1.70823301654233,2.08943878639541,0.166929640823325,-24,0
"33",38,2.40131559757271e-05,-0.647251040672257,1.42511837533298,3.39531147225229,0.918381429883136,9,0.0879156804351987,-0.817640832559967,1.72327789742354,2.25374698680522,0.179187629897093,-29,0
"34",8,0.000239901843349589,-0.578823226054612,1.53020081213058,2.94025734946123,0.760532900129888,0,0.264456544715633,-0.675248517671581,1.74700606379791,2.518908147482,0.14759181697026,-8,0
"35",34,0.000945914535921504,-0.520062318220524,1.61993676299212,3.03322235169628,0.715676373756055,14,0.0103828616997048,-0.756710038446275,1.84349612525587,2.10648404674612,0.276623731154212,-20,0
"36",1,0.0202267782082303,-0.587924562311854,1.59836940142599,2.72710059911467,0.534738344838081,14,0.0172912095780615,-0.711900498413737,1.81972276540183,2.03011138344769,0.116244779724592,13,0
"37",23,0.000150263957907403,-0.628084176436995,1.46519613193419,3.88614104373611,0.892495703058403,18,0.00206722237205376,-0.823470961708942,1.80688685555592,1.94040417673457,0.203509998081421,-5,0
