"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",0,0,98,98,98,98
"2",4,2,98,98,94,96
"3",0,4,100,100,100,96
"4",2,0,94,94,92,94
"5",6,8,100,100,94,92
"6",0,6,96,96,96,90
"7",0,2,100,100,100,98
"8",0,2,98,98,98,96
"9",12,4,96,96,84,92
"10",10,8,96,96,86,88
"11",0,0,100,100,100,100
"12",0,0,98,98,98,98
"13",0,0,96,96,96,96
"14",6,0,98,98,92,98
"15",2,0,94,94,92,94
"16",0,0,98,98,98,98
"17",8,2,100,100,92,98
"18",0,4,100,100,100,96
"19",0,2,100,100,100,98
"20",4,0,100,100,96,100
"21",6,2,98,98,92,96
"22",0,0,100,100,100,100
"23",0,0,96,96,96,96
"24",0,0,98,98,98,98
"25",64,0,88,88,24,88
"26",8,20,96,96,88,76
"27",0,0,98,98,98,98
"28",0,4,96,96,96,92
"29",0,2,98,98,98,96
"30",2,8,100,100,98,92
"31",0,2,100,100,100,98
"32",2,12,100,100,98,88
"33",4,4,98,98,94,94
"34",0,0,100,100,100,100
"35",24,12,90,90,66,78
"36",10,2,94,94,84,92
"37",6,0,96,96,90,96
"38",0,0,96,96,96,96
"39",10,0,96,96,86,96
"40",4,6,100,100,96,94
"41",2,2,100,100,98,98
"42",0,10,100,100,100,90
"43",2,4,92,92,90,88
"44",0,4,96,96,96,92
"45",14,2,100,100,86,98
"46",8,0,96,96,88,96
"47",0,0,96,96,96,96
"48",2,0,100,100,98,100
"49",0,0,100,100,100,100
"50",0,0,98,98,98,98
"51",0,2,96,96,96,94
"52",0,10,100,100,100,90
"53",0,2,96,96,96,94
"54",18,12,98,98,80,86
"55",0,4,98,98,98,94
"56",0,0,100,100,100,100
"57",2,0,98,100,96,100
"58",0,4,98,98,98,94
"59",2,20,94,94,92,74
"60",2,0,100,100,98,100
"61",14,0,98,98,84,98
"62",0,12,90,88,90,76
"63",2,0,96,96,94,96
"64",0,0,96,96,96,96
"65",8,22,94,94,86,72
"66",0,0,96,96,96,96
"67",0,0,98,98,98,98
"68",0,2,100,98,100,96
"69",2,6,100,100,98,94
"70",0,6,100,100,100,94
"71",24,14,96,96,72,82
"72",18,0,90,90,72,90
"73",2,8,94,94,92,86
"74",2,6,100,100,98,94
"75",4,12,96,96,92,84
"76",6,0,100,100,94,100
"77",10,0,94,94,84,94
"78",0,2,100,100,100,98
"79",0,16,98,98,98,82
"80",0,4,98,98,98,94
"81",16,4,100,100,84,96
"82",0,14,96,96,96,82
"83",10,8,100,100,90,92
"84",0,2,98,98,98,96
"85",0,0,98,98,98,98
"86",0,6,100,100,100,94
"87",0,0,98,98,98,98
"88",0,4,100,100,100,96
"89",2,6,98,98,96,92
"90",0,0,100,100,100,100
"91",22,8,96,98,74,90
"92",0,2,100,100,100,98
"93",0,4,100,100,100,96
"94",0,0,100,100,100,100
"95",0,0,98,98,98,98
"96",8,0,100,100,92,100
"97",0,0,98,98,98,98
"98",0,0,94,94,94,94
"99",6,4,100,100,94,96
"100",0,0,96,96,96,96
"101",0,0,96,98,96,98
"102",4,2,100,98,96,96
"103",4,0,98,98,94,98
"104",0,0,92,92,92,92
"105",0,18,96,96,96,78
"106",0,0,100,100,100,100
"107",0,0,98,98,98,98
"108",2,0,98,98,96,98
"109",0,18,100,100,100,82
"110",0,0,100,100,100,100
"111",4,0,96,96,92,96
"112",4,8,96,98,92,90
"113",24,0,98,98,74,98
"114",0,0,98,98,98,98
"115",10,22,100,100,90,78
"116",0,4,100,100,100,96
"117",8,20,100,100,92,80
"118",0,0,98,98,98,98
"119",2,12,98,98,96,86
"120",16,20,100,100,84,80
"121",4,28,94,94,90,66
"122",0,0,92,92,92,92
"123",6,6,98,98,92,92
"124",18,4,96,96,78,92
"125",0,4,100,100,100,96
