"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",0,0,95,95,95,95
"2",3,7,93,93,90,86
"3",0,3,95,95,95,92
"4",3,2,100,100,97,98
"5",4,0,95,95,91,95
"6",0,1,99,98,99,97
"7",0,0,98,98,98,98
"8",26,5,98,98,72,93
"9",0,0,99,99,99,99
"10",0,1,94,94,94,93
"11",25,20,100,99,75,79
"12",0,1,95,98,95,97
"13",0,3,97,96,97,93
"14",0,0,99,98,99,98
"15",1,2,98,98,97,96
"16",1,4,98,98,97,94
"17",4,0,95,95,91,95
"18",0,0,97,96,97,96
"19",7,30,99,99,92,69
"20",0,0,95,95,95,95
"21",1,0,96,97,95,97
"22",6,17,99,100,93,83
"23",11,9,100,100,89,91
"24",0,2,99,98,99,96
"25",0,0,99,98,99,98
"26",1,8,98,98,97,90
"27",1,0,94,95,93,95
"28",0,0,100,99,100,99
"29",0,9,97,97,97,88
"30",0,5,99,99,99,94
"31",0,1,99,99,99,98
"32",0,0,94,95,94,95
"33",11,0,98,97,87,97
"34",0,0,98,98,98,98
"35",0,3,99,99,99,96
"36",1,0,97,97,96,97
"37",0,2,99,99,99,97
"38",4,0,100,99,96,99
"39",0,0,100,100,100,100
"40",6,3,98,98,92,95
"41",9,0,98,98,89,98
"42",1,2,100,100,99,98
"43",0,5,95,95,95,90
"44",0,0,100,100,100,100
"45",0,4,96,96,96,92
"46",5,2,97,97,92,95
"47",20,14,99,99,79,85
"48",0,0,97,97,97,97
"49",0,8,98,98,98,90
"50",0,0,95,95,95,95
"51",24,12,99,100,75,88
"52",0,4,99,99,99,95
"53",0,0,95,95,95,95
"54",0,0,100,100,100,100
"55",12,0,99,99,87,99
"56",0,1,99,100,99,99
"57",0,15,99,99,99,84
"58",0,3,98,99,98,96
"59",4,13,99,99,95,86
"60",0,10,97,98,97,88
"61",0,0,97,97,97,97
"62",0,0,99,100,99,100
"63",0,0,94,94,94,94
"64",3,6,98,99,95,93
"65",0,8,100,100,100,92
"66",21,5,100,100,79,95
"67",0,0,94,95,94,95
"68",3,0,94,96,91,96
"69",28,47,100,99,72,52
"70",4,3,98,99,94,96
"71",1,0,99,100,98,100
"72",13,1,100,100,87,99
"73",0,0,99,98,99,98
"74",0,0,95,96,95,96
"75",0,1,98,98,98,97
"76",0,0,99,99,99,99
"77",10,3,98,97,88,94
"78",0,1,97,97,97,96
"79",1,3,98,98,97,95
"80",12,7,97,96,85,89
"81",8,10,98,98,90,88
"82",0,0,97,98,97,98
"83",9,31,100,100,91,69
"84",0,0,100,100,100,100
"85",1,8,99,100,98,92
"86",21,0,96,96,75,96
"87",0,0,96,97,96,97
"88",0,4,99,98,99,94
"89",11,24,98,99,87,75
"90",16,0,99,99,83,99
"91",0,6,97,97,97,91
"92",0,1,98,99,98,98
"93",9,0,96,96,87,96
"94",0,0,97,98,97,98
"95",8,1,98,98,90,97
"96",0,0,99,98,99,98
"97",0,0,100,100,100,100
"98",0,12,99,99,99,87
"99",10,1,98,98,88,97
"100",2,10,98,97,96,87
"101",0,2,98,97,98,95
"102",1,4,97,97,96,93
"103",0,1,100,100,100,99
"104",0,0,96,96,96,96
"105",17,0,97,97,80,97
"106",0,0,98,99,98,99
"107",1,4,96,96,95,92
"108",0,0,96,96,96,96
"109",1,0,97,97,96,97
"110",0,0,99,99,99,99
"111",0,0,99,98,99,98
"112",0,0,96,96,96,96
"113",0,0,97,97,97,97
"114",0,2,100,100,100,98
"115",1,4,98,98,97,94
"116",0,0,100,99,100,99
"117",0,0,97,98,97,98
"118",12,2,98,98,86,96
"119",0,0,99,99,99,99
"120",1,1,99,99,98,98
"121",0,0,98,98,98,98
"122",0,3,99,100,99,97
"123",0,1,99,99,99,98
"124",0,14,98,99,98,85
"125",1,2,99,99,98,97
"126",0,9,99,99,99,90
"127",0,13,98,97,98,84
"128",10,27,95,95,85,68
"129",0,0,97,98,97,98
"130",30,0,97,97,67,97
"131",3,0,99,99,96,99
"132",17,1,97,97,80,96
"133",1,5,99,99,98,94
"134",0,0,98,97,98,97
"135",0,0,97,97,97,97
"136",0,0,99,99,99,99
"137",2,16,97,96,95,80
"138",0,0,97,97,97,97
"139",5,14,96,97,91,83
"140",0,3,95,95,95,92
"141",0,1,98,98,98,97
"142",0,3,98,98,98,95
"143",0,0,98,97,98,97
"144",0,0,99,99,99,99
"145",0,0,98,98,98,98
"146",0,0,100,99,100,99
"147",7,0,97,96,90,96
"148",0,9,99,99,99,90
"149",2,7,97,96,95,89
"150",2,8,99,98,97,90
"151",0,11,99,100,99,89
"152",1,0,96,97,95,97
"153",0,4,98,99,98,95
"154",0,0,99,99,99,99
"155",1,4,99,99,98,95
"156",2,4,98,98,96,94
"157",0,5,95,95,95,90
"158",0,0,98,99,98,99
"159",0,0,100,100,100,100
"160",0,4,97,98,97,94
"161",14,11,97,96,83,85
"162",0,0,99,99,99,99
"163",0,0,99,99,99,99
"164",9,11,99,99,90,88
"165",5,20,95,95,90,75
"166",0,2,97,96,97,94
"167",1,14,99,98,98,84
"168",0,0,94,94,94,94
"169",1,9,98,99,97,90
"170",1,0,100,100,99,100
"171",0,2,99,100,99,98
"172",25,0,99,99,74,99
"173",3,7,95,95,92,88
"174",0,9,97,97,97,88
"175",1,5,99,99,98,94
"176",0,0,99,98,99,98
"177",0,0,94,93,94,93
"178",8,7,98,98,90,91
"179",0,0,100,99,100,99
"180",0,0,100,100,100,100
"181",2,5,98,98,96,93
"182",4,0,98,99,94,99
"183",0,6,98,98,98,92
"184",0,3,99,99,99,96
"185",0,4,100,100,100,96
"186",2,6,100,99,98,93
"187",0,3,97,97,97,94
"188",10,3,99,99,89,96
"189",0,3,97,97,97,94
"190",0,0,99,99,99,99
"191",9,0,99,99,90,99
"192",0,0,98,98,98,98
"193",1,0,100,100,99,100
"194",25,1,96,97,71,96
"195",3,2,99,99,96,97
"196",0,0,99,98,99,98
"197",0,1,96,96,96,95
"198",0,0,98,98,98,98
"199",6,6,100,100,94,94
"200",3,5,97,97,94,92
"201",0,0,98,98,98,98
"202",0,10,99,99,99,89
"203",0,3,99,99,99,96
"204",6,0,98,98,92,98
"205",0,0,97,97,97,97
"206",0,0,99,99,99,99
"207",0,0,99,98,99,98
"208",0,1,100,100,100,99
"209",0,0,100,100,100,100
"210",0,0,98,99,98,99
"211",0,0,94,95,94,95
"212",2,0,97,96,95,96
"213",0,0,98,98,98,98
"214",0,0,95,95,95,95
"215",0,5,99,99,99,94
"216",0,2,96,96,96,94
"217",4,9,100,100,96,91
"218",0,0,98,98,98,98
"219",0,2,99,98,99,96
"220",0,1,98,99,98,98
"221",5,0,97,97,92,97
"222",0,4,96,97,96,93
"223",3,20,98,98,95,78
"224",0,0,99,99,99,99
"225",0,4,96,96,96,92
"226",0,0,99,98,99,98
"227",0,2,98,98,98,96
"228",2,5,97,98,95,93
"229",0,2,98,97,98,95
"230",0,0,99,99,99,99
"231",0,0,100,99,100,99
"232",0,3,98,99,98,96
"233",0,0,96,96,96,96
"234",0,0,100,100,100,100
"235",0,3,100,100,100,97
"236",2,0,97,96,95,96
"237",11,6,99,100,88,94
"238",0,0,98,98,98,98
"239",20,10,98,98,78,88
"240",0,0,96,97,96,97
"241",33,0,99,99,66,99
"242",0,0,98,97,98,97
"243",0,1,96,96,96,95
"244",0,2,96,96,96,94
"245",0,3,96,96,96,93
"246",2,0,100,99,98,99
"247",0,1,98,98,98,97
"248",0,1,99,100,99,99
"249",1,3,95,96,94,93
"250",0,7,99,99,99,92
"251",0,2,99,99,99,97
"252",0,0,95,95,95,95
"253",1,7,100,99,99,92
"254",0,0,99,99,99,99
"255",0,0,99,100,99,100
"256",1,12,98,99,97,87
"257",6,8,100,100,94,92
"258",0,7,99,99,99,92
"259",0,0,97,97,97,97
"260",2,0,100,100,98,100
"261",0,0,98,98,98,98
"262",0,12,99,99,99,87
"263",0,8,99,99,99,91
"264",0,1,98,98,98,97
"265",0,1,99,99,99,98
"266",0,1,99,100,99,99
"267",0,0,100,100,100,100
"268",3,14,97,97,94,83
"269",0,3,99,99,99,96
"270",0,0,98,97,98,97
"271",0,0,96,97,96,97
"272",0,0,96,96,96,96
"273",2,1,98,98,96,97
"274",5,4,97,97,92,93
"275",0,0,99,99,99,99
"276",1,1,100,100,99,99
"277",0,4,97,97,97,93
"278",0,4,100,100,100,96
"279",0,0,99,99,99,99
"280",0,2,95,95,95,93
"281",5,0,99,98,94,98
"282",1,0,98,98,97,98
"283",0,4,95,96,95,92
"284",0,0,98,99,98,99
"285",0,8,98,99,98,91
"286",0,7,98,97,98,90
"287",0,7,100,99,100,92
"288",1,1,98,98,97,97
"289",2,4,96,96,94,92
"290",0,0,99,100,99,100
"291",4,11,96,97,92,86
"292",0,3,100,100,100,97
"293",0,0,98,98,98,98
"294",0,9,95,97,95,88
"295",0,0,99,99,99,99
"296",14,3,99,99,85,96
"297",0,3,100,99,100,96
"298",3,1,100,100,97,99
"299",0,6,98,99,98,93
"300",0,0,99,99,99,99
"301",0,4,97,98,97,94
"302",0,5,97,98,97,93
"303",1,1,98,98,97,97
"304",0,0,100,99,100,99
"305",0,13,96,96,96,83
"306",10,10,97,97,87,87
"307",8,0,99,98,91,98
"308",0,0,97,97,97,97
"309",0,0,97,97,97,97
"310",1,4,100,100,99,96
"311",0,0,96,96,96,96
"312",0,0,99,100,99,100
"313",1,1,98,99,97,98
"314",0,9,99,99,99,90
"315",0,0,99,99,99,99
"316",1,3,99,98,98,95
"317",0,2,97,97,97,95
"318",0,1,99,99,99,98
"319",0,1,97,97,97,96
"320",1,5,98,98,97,93
"321",5,0,97,97,92,97
"322",1,9,99,99,98,90
"323",0,3,99,98,99,95
"324",1,8,99,99,98,91
"325",0,7,97,96,97,89
"326",0,0,92,92,92,92
"327",0,3,99,98,99,95
"328",4,0,100,99,96,99
"329",2,0,97,97,95,97
"330",0,1,98,97,98,96
"331",0,3,96,96,96,93
"332",0,0,98,98,98,98
"333",0,0,99,99,99,99
"334",1,0,99,99,98,99
"335",1,5,100,100,99,95
"336",0,0,95,95,95,95
"337",0,3,99,99,99,96
"338",0,0,99,99,99,99
"339",0,0,100,100,100,100
"340",0,0,98,98,98,98
"341",0,0,96,95,96,95
"342",0,0,98,98,98,98
"343",5,6,97,97,92,91
"344",5,0,99,99,94,99
"345",15,6,98,97,83,91
"346",0,1,96,96,96,95
"347",0,0,97,98,97,98
"348",0,1,100,100,100,99
"349",2,1,100,100,98,99
"350",1,2,98,97,97,95
"351",0,1,99,99,99,98
"352",0,0,98,98,98,98
"353",0,0,97,98,97,98
"354",1,5,99,99,98,94
"355",0,5,95,94,95,89
"356",1,20,99,98,98,78
"357",3,7,98,98,95,91
"358",4,4,99,99,95,95
"359",0,0,97,98,97,98
"360",0,0,99,99,99,99
"361",0,3,96,96,96,93
"362",0,1,99,99,99,98
"363",14,0,97,97,83,97
"364",0,0,99,100,99,100
"365",3,0,96,96,93,96
"366",0,0,92,92,92,92
"367",1,0,99,98,98,98
"368",3,2,98,98,95,96
"369",0,1,99,99,99,98
"370",1,4,97,97,96,93
"371",0,0,100,99,100,99
"372",6,8,99,99,93,91
"373",11,0,99,98,88,98
"374",0,0,97,97,97,97
"375",0,0,100,100,100,100
"376",0,0,97,97,97,97
"377",1,0,96,96,95,96
"378",6,0,100,100,94,100
"379",3,0,98,98,95,98
"380",0,1,99,98,99,97
"381",6,0,95,96,89,96
"382",0,6,97,98,97,92
"383",0,4,94,94,94,90
"384",0,3,99,99,99,96
"385",0,13,97,96,97,83
"386",0,0,98,98,98,98
"387",0,1,99,100,99,99
"388",0,3,98,99,98,96
"389",5,0,91,91,86,91
"390",0,7,97,97,97,90
"391",7,1,99,99,92,98
"392",0,0,99,98,99,98
"393",0,0,96,97,96,97
"394",0,1,95,96,95,95
"395",0,0,97,96,97,96
"396",1,10,100,100,99,90
"397",1,2,96,96,95,94
"398",0,0,99,99,99,99
"399",0,0,99,99,99,99
"400",0,0,99,99,99,99
"401",7,16,95,95,88,79
"402",2,2,97,98,95,96
"403",2,0,97,97,95,97
"404",0,0,97,97,97,97
"405",0,6,97,98,97,92
"406",1,10,98,99,97,89
"407",0,10,99,99,99,89
"408",0,2,98,97,98,95
"409",3,0,99,99,96,99
"410",13,0,99,98,86,98
"411",2,0,97,97,95,97
"412",0,11,99,99,99,88
"413",8,3,98,98,90,95
"414",0,0,97,98,97,98
"415",0,7,97,97,97,90
"416",0,0,98,98,98,98
"417",1,4,98,98,97,94
"418",0,0,96,96,96,96
"419",4,0,96,97,92,97
"420",2,4,99,99,97,95
"421",0,0,100,100,100,100
"422",0,0,94,93,94,93
"423",2,0,99,98,97,98
"424",0,0,93,93,93,93
"425",1,0,97,97,96,97
"426",0,2,96,96,96,94
"427",0,0,100,99,100,99
"428",1,1,100,99,99,98
"429",0,0,97,97,97,97
"430",0,7,98,97,98,90
"431",0,0,99,99,99,99
"432",0,0,97,98,97,98
"433",0,1,100,100,100,99
"434",48,6,99,99,51,93
"435",0,7,98,98,98,91
"436",0,5,98,98,98,93
"437",1,7,99,99,98,92
"438",0,1,100,100,100,99
"439",6,0,95,96,89,96
"440",27,18,91,90,64,72
"441",0,0,96,96,96,96
"442",0,0,94,95,94,95
"443",0,0,98,98,98,98
"444",0,0,98,98,98,98
"445",0,6,96,95,96,89
"446",1,0,98,99,97,99
"447",0,0,100,100,100,100
"448",0,9,99,99,99,90
"449",0,14,97,97,97,83
"450",0,1,100,100,100,99
"451",12,0,97,98,85,98
"452",13,14,99,99,86,85
"453",0,8,99,98,99,90
"454",1,8,98,98,97,90
"455",12,3,98,98,86,95
"456",11,11,99,99,88,88
"457",0,8,94,94,94,86
"458",3,3,97,98,94,95
