"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",2,4,100,100,98,96
"2",2,8,100,100,98,92
"3",0,0,100,100,100,100
"4",0,4,100,100,100,96
"5",0,2,100,100,100,98
"6",2,14,100,100,98,86
"7",0,0,100,100,100,100
"8",2,4,100,100,98,96
"9",10,4,100,100,90,96
"10",0,0,100,100,100,100
"11",0,0,100,100,100,100
"12",8,14,100,100,92,86
"13",0,6,100,100,100,94
"14",0,0,100,100,100,100
"15",2,0,100,100,98,100
"16",0,6,100,100,100,94
"17",0,0,100,100,100,100
"18",0,6,98,98,98,92
"19",0,0,100,100,100,100
"20",0,0,100,100,100,100
"21",0,0,100,100,100,100
"22",0,0,100,100,100,100
"23",0,0,100,100,100,100
"24",0,2,100,100,100,98
"25",6,0,100,100,94,100
"26",12,4,98,98,86,94
"27",0,4,100,100,100,96
"28",6,8,100,100,94,92
"29",0,0,100,100,100,100
"30",2,8,100,100,98,92
"31",16,26,100,100,84,74
"32",6,10,100,100,94,90
"33",0,4,100,100,100,96
"34",0,8,100,100,100,92
"35",0,0,100,100,100,100
"36",0,0,98,98,98,98
"37",0,0,100,100,100,100
"38",0,0,100,100,100,100
"39",0,0,100,100,100,100
"40",0,2,100,100,100,98
"41",2,4,100,100,98,96
"42",0,0,100,100,100,100
"43",0,4,100,100,100,96
"44",0,0,100,100,100,100
"45",0,2,100,100,100,98
"46",8,6,100,100,92,94
"47",4,14,100,100,96,86
"48",2,0,100,100,98,100
"49",0,2,100,100,100,98
"50",2,6,100,100,98,94
"51",0,2,100,100,100,98
"52",0,0,100,100,100,100
"53",8,0,100,100,92,100
"54",0,0,100,100,100,100
"55",8,2,100,100,92,98
"56",2,0,100,100,98,100
"57",0,4,100,100,100,96
"58",12,0,100,100,88,100
"59",14,14,100,100,86,86
"60",2,12,100,100,98,88
"61",0,4,100,100,100,96
"62",10,0,100,100,90,100
"63",8,8,100,100,92,92
"64",0,8,100,100,100,92
"65",2,2,100,100,98,98
"66",18,8,100,100,82,92
"67",0,0,100,100,100,100
"68",0,2,100,100,100,98
"69",0,0,100,100,100,100
"70",0,2,100,100,100,98
"71",2,2,100,100,98,98
"72",0,0,100,100,100,100
"73",4,0,100,100,96,100
"74",2,0,100,100,98,100
"75",0,0,100,100,100,100
"76",2,12,100,100,98,88
"77",0,2,100,100,100,98
"78",0,2,100,100,100,98
"79",0,10,100,100,100,90
"80",2,8,100,100,98,92
"81",0,0,100,100,100,100
"82",18,0,100,100,82,100
"83",0,0,100,100,100,100
"84",8,2,100,100,92,98
"85",0,14,100,100,100,86
"86",8,2,100,100,92,98
"87",2,6,100,100,98,94
"88",0,0,100,100,100,100
"89",0,0,100,100,100,100
"90",0,14,100,100,100,86
"91",0,0,100,100,100,100
"92",2,12,100,100,98,88
"93",0,2,100,100,100,98
"94",0,0,100,100,100,100
"95",0,0,100,100,100,100
"96",4,4,100,100,96,96
"97",0,4,100,100,100,96
"98",0,0,100,100,100,100
"99",0,0,100,100,100,100
"100",0,0,100,100,100,100
"101",16,20,100,100,84,80
"102",0,0,100,100,100,100
"103",0,0,100,100,100,100
"104",8,2,100,100,92,98
"105",12,12,100,100,88,88
"106",0,6,100,100,100,94
"107",8,8,100,100,92,92
"108",0,0,100,100,100,100
"109",16,0,100,100,84,100
"110",0,6,100,100,100,94
"111",0,0,100,100,100,100
"112",2,2,100,100,98,98
"113",0,2,100,100,100,98
"114",0,0,100,100,100,100
"115",4,0,100,100,96,100
"116",8,2,100,100,92,98
"117",0,6,100,100,100,94
"118",8,4,100,100,92,96
"119",0,0,100,100,100,100
"120",0,6,100,100,100,94
"121",4,8,100,100,96,92
"122",0,0,100,100,100,100
"123",0,0,100,100,100,100
"124",4,4,100,100,96,96
"125",12,18,100,100,88,82
"126",4,6,100,100,96,94
"127",8,0,100,100,92,100
"128",24,0,100,100,76,100
"129",0,2,100,100,100,98
"130",2,12,100,100,98,88
"131",22,20,100,100,78,80
"132",2,0,100,100,98,100
"133",4,0,100,100,96,100
"134",26,16,100,100,74,84
"135",0,2,100,100,100,98
"136",2,0,100,100,98,100
"137",0,0,100,100,100,100
"138",2,8,100,100,98,92
"139",4,6,100,100,96,94
"140",32,4,100,100,68,96
"141",0,0,100,100,100,100
"142",14,14,100,100,86,86
"143",2,0,100,100,98,100
"144",12,0,100,100,88,100
"145",2,6,100,100,98,94
"146",2,0,100,100,98,100
"147",4,0,100,100,96,100
"148",12,6,100,100,88,94
"149",0,4,100,100,100,96
"150",0,4,100,100,100,96
"151",30,2,98,98,68,96
"152",0,6,100,100,100,94
"153",8,24,100,100,92,76
"154",0,4,100,100,100,96
"155",2,4,100,100,98,96
"156",6,14,100,100,94,86
"157",0,2,98,98,98,96
"158",2,2,100,100,98,98
"159",0,0,98,98,98,98
"160",4,8,100,100,96,92
"161",0,0,100,100,100,100
"162",8,0,100,100,92,100
"163",0,4,100,100,100,96
"164",18,4,100,100,82,96
"165",0,4,100,100,100,96
"166",0,0,100,100,100,100
"167",0,0,100,100,100,100
"168",0,0,100,100,100,100
"169",8,10,100,100,92,90
"170",0,0,100,100,100,100
"171",0,0,100,100,100,100
"172",0,8,100,100,100,92
"173",0,2,100,100,100,98
"174",0,0,100,100,100,100
"175",0,0,100,100,100,100
"176",0,0,100,100,100,100
"177",0,0,100,100,100,100
"178",6,0,100,100,94,100
"179",0,0,100,100,100,100
"180",10,0,100,100,90,100
"181",2,0,100,100,98,100
"182",22,0,100,100,78,100
"183",0,0,100,100,100,100
"184",14,16,100,100,86,84
"185",0,2,100,100,100,98
"186",16,22,100,100,84,78
"187",2,0,100,100,98,100
"188",0,2,100,100,100,98
"189",0,20,100,100,100,80
"190",2,8,100,100,98,92
"191",0,2,100,100,100,98
"192",0,2,100,100,100,98
"193",2,0,100,100,98,100
"194",4,0,100,100,96,100
"195",2,0,100,100,98,100
"196",4,14,100,100,96,86
"197",0,0,100,100,100,100
"198",0,0,100,100,100,100
"199",0,0,100,100,100,100
"200",6,0,100,100,94,100
"201",0,0,98,98,98,98
"202",0,28,100,100,100,72
"203",4,0,100,100,96,100
"204",0,0,100,100,100,100
"205",6,4,100,100,94,96
"206",0,0,100,100,100,100
"207",0,4,100,100,100,96
"208",16,8,100,100,84,92
"209",0,0,100,100,100,100
"210",0,0,98,98,98,98
"211",0,0,100,100,100,100
"212",0,2,100,100,100,98
"213",2,4,100,100,98,96
"214",2,0,100,100,98,100
"215",6,18,98,98,92,80
"216",0,0,100,100,100,100
"217",0,0,100,100,100,100
"218",0,6,100,100,100,94
"219",6,2,100,100,94,98
"220",0,4,100,100,100,96
"221",8,4,100,100,92,96
"222",4,2,100,100,96,98
"223",32,22,100,100,68,78
"224",10,38,100,100,90,62
"225",2,24,100,100,98,76
"226",0,6,100,100,100,94
"227",4,8,100,100,96,92
"228",0,2,100,100,100,98
"229",0,0,100,100,100,100
"230",0,0,100,100,100,100
"231",0,0,98,98,98,98
"232",0,0,100,100,100,100
"233",0,0,100,100,100,100
"234",0,2,100,100,100,98
"235",4,2,100,100,96,98
"236",0,0,100,100,100,100
"237",0,0,100,100,100,100
"238",4,0,100,100,96,100
"239",12,0,100,100,88,100
"240",0,0,100,100,100,100
"241",6,2,100,100,94,98
"242",0,0,100,100,100,100
"243",8,12,100,100,92,88
"244",0,0,100,100,100,100
"245",0,8,100,100,100,92
"246",0,10,100,100,100,90
"247",12,0,100,100,88,100
"248",2,0,100,100,98,100
"249",4,0,100,100,96,100
"250",0,0,100,100,100,100
"251",0,0,100,100,100,100
"252",32,8,100,100,68,92
"253",0,2,100,100,100,98
"254",10,18,100,100,90,82
"255",2,2,100,100,98,98
"256",2,26,100,100,98,74
"257",12,22,100,100,88,78
"258",0,0,100,100,100,100
"259",2,18,100,100,98,82
"260",0,4,100,100,100,96
"261",4,12,100,100,96,88
"262",0,0,100,100,100,100
"263",0,0,100,100,100,100
"264",28,24,100,100,72,76
"265",0,0,100,100,100,100
"266",2,0,100,100,98,100
"267",0,0,100,100,100,100
"268",0,0,100,100,100,100
"269",4,8,100,100,96,92
"270",2,8,100,100,98,92
"271",0,0,100,100,100,100
"272",0,0,100,100,100,100
"273",0,12,100,100,100,88
"274",0,2,100,100,100,98
"275",16,0,100,100,84,100
"276",8,0,100,100,92,100
"277",20,8,100,100,80,92
"278",24,10,100,100,76,90
"279",0,0,100,100,100,100
"280",4,26,100,100,96,74
"281",0,10,100,100,100,90
"282",0,2,100,100,100,98
"283",8,0,100,100,92,100
"284",0,4,100,100,100,96
"285",0,0,100,100,100,100
