"","Correct_model_perc","Correct_model_pvalues","Correct_model_mean","Correct_model_sd","Correct_model_kurt","Correct_model_skew","Null_model_perc","Null_model_pvalues","Null_model_mean","Null_model_sd","Null_model_kurt","Null_model_skew","Percentage_difference","P_value"
"1",0.5,0.15564483110509,0.872281530632947,0.8661946433182,3.13417246792214,0.329307499130755,20,0.000906947403733506,1.0167994430796,0.696851874913311,3.13850574765205,0.370714211455537,19.5,0
"2",0.5,0.299507814059547,0.822936019454729,0.900828018717749,3.24186975817516,0.279169317596283,31.5,0.000458887230030967,1.02541456807991,0.644534965873078,2.41454164011535,0.119019217603245,31,0
"3",0,0.691484233024579,0.691982894040785,0.934044548735379,2.8429733683951,0.129779975841277,20,0.00147407525409221,1.18442668815954,0.695057121270424,2.39196347238037,0.0412258245576549,20,0
"4",0.5,0.553719745983569,0.72241981265742,0.911618964291814,2.56694865624064,0.0973816701104459,22.5,0.00363146900442125,1.1279645630396,0.739052360541281,2.33736888379525,0.188613403714927,22,0
"5",1,0.905217004483939,0.804718973949826,0.864450240050101,3.23110623197932,0.0307766357993247,26.5,0.000774434180224209,1.14526689365474,0.696324687729275,2.43336000700483,0.0907576551054546,25.5,0
"6",0,0.365858904547982,0.739086942369916,0.832075204176276,2.6871979801326,-0.103722654035491,26.5,0.000128860833713491,1.08647937089205,0.68966273040154,2.60061713279242,0.206678043098559,26.5,0
"7",0,0.77575732877471,0.91995085736155,0.764447960267446,2.80362429536536,-0.0772371398716081,28,0.00027444666812367,1.13978928665909,0.716790711371618,2.8148344857448,0.268945263814741,28,0
"8",1,0.750167011333022,0.722206257796403,0.885758993248792,3.01774662791831,-0.112879705917263,22,0.00165421594651862,1.0321384556188,0.685226722894083,2.24698952290204,0.0198886908106176,21,0
"9",2,0.475913911098999,0.65442335968585,0.940849913284403,2.55351408262774,0.00277402627361288,20,0.00044947274163214,1.03148041640352,0.680937539362932,3.02657633917667,0.350100405381453,18,0
"10",3.5,0.159910722189454,0.746828102016547,0.871912347817205,2.46009118892353,-0.07549936342864,10,0.000663298822069943,1.10929195458331,0.689580271335654,3.32709075957148,0.496112635797357,6.5,0
"11",0,0.248456731489917,0.871528243128531,0.839834044376853,2.74434927011285,-0.188529659857159,0.5,0.00385350664083693,1.14795943620973,0.65512450490489,2.71786292509218,0.364900398194327,0.5,0
"12",0,0.368360939988533,0.743446408751354,0.923455730746141,2.65805280696872,-0.0430889998541665,14,0.000672667849053087,1.07598917792436,0.734086856351545,2.66620327410485,0.411509030526141,14,0
"13",14.5,0.202511757994224,0.69338912450246,0.912074552189623,2.70082552005311,0.15294127267272,33,6.30176798226949e-05,1.00640137723176,0.775554629878264,2.50456277381801,0.386369981879623,18.5,0
"14",0,0.434411763766402,0.638760471637425,0.934597096753391,2.56524431847563,0.123736813826519,29.5,0.000290863187859161,1.04428021501517,0.743281098298893,3.02503947075917,0.431005823453019,29.5,0
"15",0,0.388220360395201,0.702861313800829,0.858375716805715,2.78644241900883,0.20549229697748,20.5,0.0040752291969687,1.06188475889322,0.689754527092951,2.59600836887506,0.334504317506386,20.5,0
"16",0,0.162715330824444,0.743691804737499,0.810327475790581,2.74957047726954,-0.284775160088353,17.5,0.013355033224794,1.09786168785173,0.650812843554732,2.48552680344474,0.0398758785229957,17.5,0
"17",0,0.591081806806857,0.737301501611263,0.89201072309477,2.92704620223074,-0.229367635023839,29,0.000108196366371033,1.05549795753446,0.72601871607993,2.87812257007916,0.23145064010816,29,0
"18",0,0.46082602577278,0.840106024071085,0.874120804156722,2.71561843136722,-0.0786562410175318,16.5,0.00261678512643195,1.14064308491397,0.650926357484412,2.57348730966137,-0.0127868501617507,16.5,0
"19",0,0.967565865855872,0.615864069001408,0.975394142099483,2.87562694214812,-0.0189422056141346,31.5,0.000146285919656697,1.06508153737417,0.748050971757913,2.15724329238765,0.148831920668522,31.5,0
"20",0,0.294599905269839,0.696924920766909,0.847453160033616,2.91132604981749,0.0831454494287921,16.5,0.000328396147962978,1.11966083809644,0.712584594019082,3.48797610435326,0.365227188823458,16.5,0
"21",0,0.841749434163446,0.814049870626302,0.812723654394643,2.83851418152724,0.0424705714112101,22,0.00025297739988079,1.06705418904252,0.703409646388266,2.79254892386992,0.40666017512094,22,0
"22",0,0.198695847192539,0.721559858775987,0.929882424794421,2.5252377447699,0.13417393435364,28,0.000851570564141683,1.00775924425468,0.702592245641563,2.45513039630622,0.208272418402207,28,0
"23",0.5,0.132453294700113,0.685141961600403,0.910777210141788,2.61589497445116,-0.251593921664321,22.5,0.000177603323380823,1.07419598973688,0.717739953209171,2.46259827833177,0.149818991777463,22,0
"24",2.5,0.00576501697633428,0.761309803382081,0.924927502401966,2.16500507834265,-0.145440828536615,13,0.000410419241813688,1.08809278125819,0.71697212634172,3.73317036659557,0.552715344705968,10.5,0
"25",0,0.24455590025744,0.734367804383074,0.884992931994868,2.38709416061905,0.102209269701754,6,0.00251447965789449,1.07807141110503,0.594989385211895,2.7118299976244,0.270420082766071,6,0
"26",0,0.0158688711043964,0.634510782866793,0.980383609343921,2.34796870829485,0.0834058153697012,30,0.000187431490179313,1.00250599094832,0.758312517940727,2.73301326665796,0.447531000443357,30,0
"27",6.5,0.272100055950449,0.805097316643825,0.859740218700721,3.14156002001332,0.242437842748951,20.5,0.00448832788099102,1.08917733313025,0.631907202396579,2.48088375943508,0.154809635068882,14,0
"28",2.5,0.102201773451862,0.672291844733112,0.890312978742773,2.43825221747832,0.0797913211677402,18,0.0116160693717395,1.0526076693647,0.667401127721536,2.30892526171035,0.107760773377929,15.5,0
"29",6,0.0290883030185206,0.681679257001726,0.931041339165245,3.09805409446152,0.0327691186008285,29.5,0.000351037425810964,1.07342350741009,0.718664758990151,2.70559924170638,0.350790167866501,23.5,0
"30",1,0.528216539043771,0.686919833311236,0.931097199318582,2.59786392482529,0.069016943210717,24.5,3.32402989883977e-05,1.0547234419899,0.730957648444559,3.6195429365696,0.372970560328607,23.5,0
"31",0.5,0.130839767079889,0.775683910143275,0.88757997161984,2.82783895680679,-0.257885588302151,12.5,0.0015819242659334,1.08237492779203,0.698604168457808,3.05928035313418,0.42310198693296,12,0
