"","Correct_model_perc","Correct_model_pvalues","Correct_model_mean","Correct_model_sd","Correct_model_kurt","Correct_model_skew","Null_model_perc","Null_model_pvalues","Null_model_mean","Null_model_sd","Null_model_kurt","Null_model_skew","Percentage_difference","P_value"
"1",0,0.4859999469158,-0.751979114998441,1.01469819290449,3.24431328248494,0.455015448233133,42,3.0626796512591e-05,-1.50328354074548,1.19880515877236,3.57990237569531,1.17536752571685,42,0
"2",0,0.337331663407777,-0.806340413980555,1.11362747348914,3.45729391963859,0.510196354040996,18,0.000101822805661267,-1.4849900398295,1.06429423888334,3.09997042353975,0.954234539472055,18,0
"3",0,0.47518171830125,-0.731729546883505,1.20652498051978,2.40396296772523,0.277377655035674,58,8.13753990798116e-06,-1.27617236654802,1.1608620491501,3.51437202766542,1.14455762661329,58,0
"4",0,0.130305960780501,-0.698324450323202,0.981934841125104,2.52042589187099,0.407499101515284,50,8.3378661292926e-06,-1.42530179344271,1.15980694975336,4.5080620968178,1.41141444417483,50,0
"5",24,0.0323907759631294,-0.939878617833047,1.21803210563105,3.11873294152274,0.487501694790765,40,1.11019613552151e-05,-1.37027636467968,1.15959560054548,3.41206908678388,1.1912082019335,16,0
"6",20,0.0127000156991911,-0.804855349424592,0.975042629181534,2.80631942678405,0.69704134505165,46,5.79471461709919e-06,-1.44684958158365,1.088257918497,4.47844492581723,1.3614096161422,26,0
"7",26,0.0080321075754473,-0.745873726222482,1.04633105005368,3.02128793077481,0.794732741568975,30,2.8806394158694e-05,-1.44425920791822,1.00171398560187,3.12181884111817,1.0766066153024,4,0
"8",22,0.00402446467387693,-0.868647566385795,1.13542644737973,3.13827579852217,0.844342541081505,34,3.34919946608055e-05,-1.45559093488719,1.12400481865779,3.13056932110515,1.08708304041083,12,0
"9",10,0.0443668417775414,-0.774042480147917,1.19314690088145,3.29482374270199,0.708863168066266,54,2.25627782803982e-06,-1.39793124041633,1.25785418435915,4.61812279749519,1.52187007818886,44,0
"10",0,0.280281861467822,-0.790430436133015,0.871264693191166,3.2019463528109,0.561377576234007,48,1.4813934349782e-05,-1.35797897215803,1.14556382467056,3.45531095000994,1.2113568067063,48,0
"11",0,0.992060830397846,-0.697006991362205,1.12804792185166,2.94768164093902,0.0747783671105027,46,1.28901497431098e-05,-1.37529556902061,1.26920804012669,3.8138291472332,1.28118630309527,46,0
"12",0,0.272686288475342,-0.912557073834648,1.17034936633538,2.10674576478259,0.166270435202239,26,0.00109279680048935,-1.51943212126654,1.23235955312669,3.6723099011363,0.964188573852389,26,0
