"","Correct_model_perc","Correct_model_pvalues","Correct_model_mean","Correct_model_sd","Correct_model_kurt","Correct_model_skew","Null_model_perc","Null_model_pvalues","Null_model_mean","Null_model_sd","Null_model_kurt","Null_model_skew","Percentage_difference","P_value"
"1",63,4.50755313534395e-06,-0.94230100440103,1.22844917962565,3.41318049493133,0.777708589416705,56.5,2.23275932417536e-11,-1.93346220518402,1.58296970170723,2.43717335937933,0.822929558397707,-6.5,0
"2",52.5,4.46066554440591e-07,-0.933425153060966,1.17581424122079,3.611934216265,0.898273263860134,43,1.14815315413904e-08,-1.88823076779334,1.54281293460214,2.36137135985031,0.641814905694291,-9.5,0
"3",65,6.81021777617489e-09,-0.825666757923001,1.28632019021006,3.76043289554499,1.03167222365757,50.5,8.1691750419808e-09,-1.83627626841056,1.7032220479863,2.12549526716113,0.56587666938434,-14.5,0
"4",59,2.97511937870116e-07,-0.900064812879232,1.24769881295561,3.69142068605464,0.922294580285746,44,5.69844573198192e-09,-1.84525598020247,1.65151461017517,2.26637503109853,0.633366103495881,-15,0
"5",67.5,4.18352949050452e-07,-0.909787317473605,1.28663884948132,3.15124664200777,0.798766902145934,70,8.35693625336935e-11,-1.83519520459985,1.70069270354426,2.13635896682752,0.677422943709046,2.5,0
"6",69.5,3.81663884288867e-10,-0.945684127077807,1.24449031878978,3.66869987119088,1.07842613436917,74,1.90680054833002e-10,-1.80479594064619,1.76229685303896,2.23627264917672,0.705896298143815,4.5,0
"7",61.5,8.57185369248372e-07,-0.928216830986436,1.22010011205997,4.18557379747138,0.949108471153721,44,8.86405269352314e-10,-1.89333355937777,1.60525868129236,2.1161114628304,0.620218614075674,-17.5,0
"8",61.5,2.0976042690039e-05,-0.857061182368297,1.19808474867265,3.27212518659126,0.706886863085592,60,4.24289587924407e-11,-1.93594521489517,1.59795224327313,2.24660682615786,0.735356185557526,-1.5,0
"9",56.5,1.56882772742813e-05,-0.886485418262008,1.24790936919869,2.9867500356481,0.677885312151662,51.5,5.70557812627084e-09,-1.78119328328741,1.71199471362626,2.1570113095738,0.581807476754821,-5,0
"10",68.5,2.77381345978971e-07,-0.939223238104724,1.31870250828661,3.36209082354885,0.876875556850463,54,6.88615212567276e-10,-1.92838012819771,1.54919526706548,2.42125099585294,0.743362369220201,-14.5,0
"11",64,1.72902043494007e-07,-0.927492864222249,1.37727536698199,3.7188227531,0.913875074537699,60.5,1.29143523854903e-09,-1.83657472016476,1.71379379899997,2.33254066449349,0.706434644271521,-3.5,0
"12",62,3.69621080495995e-07,-0.919069830616188,1.27471365273294,3.11426665531584,0.753322552004233,66,3.0402169185615e-10,-1.84961026016895,1.67047671469023,2.46325405640258,0.785482174277514,4,0
"13",53,3.13759564962903e-05,-0.992882700218811,1.23244184325687,3.00772366852247,0.65146616870198,53,1.77147689563735e-09,-1.88856047395801,1.62702538132131,2.63511263290881,0.781916632312486,0,0
"14",47.5,1.83007932146652e-05,-0.927866452208039,1.30219851479643,3.15376557062547,0.685664362602404,65.5,3.17794818189952e-10,-1.86880255240491,1.720444963442,2.31629223543252,0.721994744490748,18,0
"15",66,3.83782233435064e-08,-0.900128312938047,1.32439835976711,3.59672287772729,0.96606234062328,69.5,7.04338938764682e-10,-1.82274173046203,1.70484242626422,2.39912773365638,0.73255630586693,3.5,0
"16",63,2.17467921324583e-06,-0.968650169015416,1.19482352660127,3.27318247386913,0.79050612333706,59,2.66067564879364e-10,-1.87620612226499,1.61756182150041,2.32462998096458,0.722550028331128,-4,0
"17",62,0.00011911838607614,-0.85346202098383,1.31386148230225,2.94629103626012,0.598566548694078,56.5,1.50921325809104e-09,-1.84896657679513,1.64841470687255,2.3250628377397,0.666434925630872,-5.5,0
"18",59.5,2.28916359186917e-07,-0.798059343999776,1.28866139731663,3.30427537288748,0.873152035307618,68.5,3.34381725722697e-11,-1.8583864376747,1.66663506620269,2.25039063412303,0.741008152787913,9,0
"19",42,0.00024885468251593,-0.990441768141795,1.22008333773762,3.23022484494057,0.64343110357722,53.5,1.17828738286091e-09,-1.83839021486527,1.68167712338491,2.16352609144485,0.63167787234651,11.5,0
"20",73.5,8.63404586581418e-09,-0.995052907778192,1.34832905831999,3.45949697278889,0.964367330873969,57,2.22856797770997e-10,-1.94152727587663,1.61056752111324,2.29478546021447,0.726160875514665,-16.5,0
"21",72.5,1.59783849394563e-07,-0.883479520663934,1.29179486509606,2.94177305072004,0.793923553238853,67.5,3.9425035561973e-10,-1.93772794774948,1.55983537722307,2.80045716470016,0.880174507349786,-5,0
"22",62.5,6.63591187719193e-06,-0.889023874264694,1.24299866683511,3.04809820308496,0.692980396992247,55,9.5454907173089e-10,-1.94249547465371,1.57608395860424,2.39651886334709,0.728404182378986,-7.5,0
"23",71.5,2.13706599581575e-09,-0.952896784525565,1.3435236698285,3.80363279731333,1.06962249574201,52,4.5767285713658e-08,-1.85929908610132,1.62215112525052,2.52397040325922,0.689501559924268,-19.5,0
"24",54.5,2.06238958857591e-05,-0.89307063548636,1.32230014266594,3.0434422152286,0.64996255886211,55.5,6.9017496956586e-09,-1.8973564979623,1.62289146359752,2.31388201846453,0.658394906710675,1,0
"25",64.5,4.3410265741695e-06,-0.800749782889448,1.2881299107608,2.78776266702774,0.649359064814288,57.5,1.57387215952726e-09,-1.85569239442089,1.68607872179516,2.18452049620132,0.633057020411306,-7,0
"26",72.5,5.88127712736851e-10,-0.936156895411386,1.2988758599744,3.85688720122133,1.12048880067487,53,3.43187350082314e-09,-1.86309702525571,1.62908866737659,2.1576440702727,0.609824228926169,-19.5,0
