"","Correct_model_perc","Correct_model_pvalues","Correct_model_mean","Correct_model_sd","Correct_model_kurt","Correct_model_skew","Null_model_perc","Null_model_pvalues","Null_model_mean","Null_model_sd","Null_model_kurt","Null_model_skew","Percentage_difference","P_value"
"1",23,6.61115383477301e-05,-0.618055749123516,1.55981790879769,3.04841124433405,0.839619000977287,42,8.98383367894209e-05,-0.883897384274356,1.77950287706144,2.45482446029335,0.564889050508964,19,0
"2",56,0.000152728629330196,-0.564686348096468,1.46704770644329,2.67816291237078,0.720094636933635,52,2.8132762309256e-06,-1.09559005969936,1.712995731102,2.30413564265398,0.645549744944591,-4,0
"3",42,3.5917532128807e-05,-0.529964574082096,1.47579025692779,2.73793042588444,0.786054710359178,38,2.50929358748079e-05,-0.949869891617915,1.76431309985193,2.42299865013933,0.575701285446493,-4,0
"4",20,7.91863544758291e-06,-0.491166762641467,1.59541606333012,3.12048080907657,0.915726608216845,51,2.48284247171854e-06,-0.934901060776613,1.87541232683079,3.01358430664231,0.886778246949711,31,0
"5",40,2.85975691319655e-06,-0.655456822857624,1.51566895343024,4.04862746456631,1.07787976279045,42,0.00012426167033545,-0.859202372938978,1.72910622422949,2.42415314494538,0.543602834737288,2,0
"6",48,6.62805388868124e-08,-0.625577564121947,1.51378128958632,3.81914620817278,1.24536964072752,62,1.14957769860482e-05,-1.04537601368576,1.78785743499057,2.37319543849092,0.668063763103221,14,0
"7",0,9.52288791190937e-07,-0.51741904832914,1.70375392875829,3.57209255995985,1.0869570249026,74,2.44661538776748e-06,-0.9875276071858,1.86721553554355,2.51812205209764,0.767275227614195,74,0
"8",2,2.94454700874092e-05,-0.598531289081904,1.56122744663565,3.41134234652876,0.947945224038166,68,4.46462806562062e-06,-1.03727817307192,1.69001829900072,2.02711317651731,0.558925495099948,66,0
"9",7,1.0762503066161e-05,-0.47832742106643,1.5516287934088,3.5839474415177,1.01532820976896,70,1.75493463388271e-07,-1.16804796246641,1.77471656112986,2.71745413435841,0.90796905396362,63,0
"10",51,1.06768269248705e-07,-0.761106759092885,1.48318691153224,3.98832853691972,1.24902959758628,61,3.78870506876255e-06,-1.00533377105374,1.77195569687284,2.50813628856236,0.716977917925619,10,0
"11",29,2.64631442486589e-05,-0.732118432989299,1.41125740243429,3.74809901945152,1.01568910116585,59,3.78606825327467e-06,-1.114305806746,1.8057381793033,2.55417860928553,0.769151251835468,30,0
"12",1,2.70365564312105e-05,-0.659787575840245,1.61139283873777,3.3954822904244,0.943260632281807,76,2.53052123535989e-07,-1.01267470646888,1.7897840188213,2.15835151046116,0.693490713210982,75,0
"13",13,8.97735344659801e-07,-0.64068196750045,1.65402873745415,3.85603509354691,1.1591635662457,69,3.66363072785881e-06,-1.13530200524262,1.78568170398574,2.25048621546726,0.655714324159751,56,0
"14",32,2.42105321459177e-05,-0.491639787031208,1.6171565845015,2.99210346232535,0.853056715092849,61,1.66161667934209e-06,-0.928367424075987,1.85967026277925,2.01317650915413,0.536587384026714,29,0
"15",18,9.43914479704233e-06,-0.636902091039357,1.51022963429933,3.69846629964343,1.05325947611418,61,1.81166754032845e-06,-1.04630574914421,1.7345545030399,2.28759453787747,0.675621064605234,43,0
"16",49,8.54240025863022e-07,-0.700705466453609,1.41687143584132,3.76829524548667,1.15060715058559,46,1.04408073740427e-05,-1.01869757206524,1.7000245260984,2.30841876289567,0.638350160712776,-3,0
"17",28,3.38118753834055e-05,-0.500170703943806,1.67652910206786,2.69992885053281,0.777653962333915,61,2.28121945422359e-06,-0.876724300316441,1.86927056535872,2.12172428879331,0.606343317156475,33,0
