"","Correct_model_perc","Correct_model_pvalues","Correct_model_mean","Correct_model_sd","Correct_model_kurt","Correct_model_skew","Null_model_perc","Null_model_pvalues","Null_model_mean","Null_model_sd","Null_model_kurt","Null_model_skew","Percentage_difference","P_value"
"1",64.5,3.47529629449364e-11,-0.782306054478282,1.79504867825432,3.66127280550664,1.14285443783682,27.5,0.000358784630793641,-0.870528301103412,1.87022736904785,2.21636708646433,0.248344941745491,-37,0
"2",67,5.97903605709576e-10,-0.769699206605594,1.68275205720562,3.04052179731561,0.954747338674276,42.5,0.000110433625329177,-0.777713560058699,1.886763540288,2.1131188597975,0.245181986884152,-24.5,0
"3",60,4.36129258581702e-11,-0.802296276120536,1.80312935766114,3.64626481110296,1.13773348765453,49.5,2.59170740405416e-05,-0.889741978620123,1.90062044365463,2.19392405166648,0.334007303653053,-10.5,0
"4",70.5,1.00958027934033e-11,-0.953228576705003,1.64958341683883,3.52570285682672,1.15734170628982,46.5,4.01745532820992e-05,-0.916633725443011,1.83572205197811,2.22578969399669,0.349771051499227,-24,0
"5",77,8.28190355798679e-12,-0.852923655955722,1.61231749367732,3.58163976619146,1.17246038942254,52.5,0.000109340461198467,-0.84438803404629,1.88622652080666,2.19011111448147,0.323691841739255,-24.5,0
"6",79,1.60028403720901e-12,-0.856098912666024,1.75201103044595,3.53480535784232,1.2040809992221,47.5,3.60708816091184e-05,-0.949763099496064,1.88632215290246,2.10314785567522,0.304159867647071,-31.5,0
"7",73,9.3591543357399e-13,-0.769690566033629,1.77747488459914,3.08189044252731,1.09332261779572,49.5,4.67205349563036e-05,-0.860738557465702,1.90938769403825,2.07584913448639,0.284078815149081,-23.5,0
"8",64.5,8.26861786099995e-12,-0.743323384619231,1.77461065702483,3.09344050901571,1.05293113228388,41.5,0.000104168714639991,-0.78503042431319,1.85196947061409,2.04951118625297,0.208230972854984,-23,0
"9",64.5,2.86870195247987e-12,-0.877311759773012,1.66448544373211,3.93662505603996,1.26303135516268,26.5,0.000899091180399486,-0.825226635988612,1.84852501393417,2.31355702036409,0.26346998001034,-38,0
"10",72,4.66726698086078e-13,-0.852464451700699,1.75831284176931,3.67953006702539,1.25506377891228,48,5.6507184907047e-05,-0.968559828633751,1.87600403984405,2.2462845299416,0.368462481017425,-24,0
"11",70,2.62375298866606e-10,-0.842955714075545,1.61309076346074,3.38442001802031,1.04991613480405,46.5,5.66522236838756e-05,-0.809589251932631,1.88375862963904,2.19802645858668,0.325345563792032,-23.5,0
"12",74,3.74215000912201e-10,-0.923207254889021,1.74708619718336,3.19634903691984,1.00096991386127,45,8.73569758687783e-05,-0.956344841355207,1.95122685641122,2.22608385048789,0.323121493237561,-29,0
"13",72.5,3.83754281047114e-11,-0.840333284005115,1.67670338396473,3.30455792518558,1.0763494031109,57,1.45504859373189e-06,-0.845707792951941,1.9223414537846,1.97882762192828,0.302373782948986,-15.5,0
"14",70.5,2.2711402351566e-11,-0.768375902607095,1.71201553599533,3.05068760290393,1.01312245499025,54,3.37024818417656e-05,-0.756015183312209,1.8906185969207,1.99235862936577,0.215907131793166,-16.5,0
