"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",4,10,100,100,96,90
"2",0,0,96,96,96,96
"3",0,0,100,100,100,100
"4",16,2,98,98,82,96
"5",8,8,94,94,86,86
"6",6,18,100,100,94,82
"7",4,2,98,98,94,96
"8",0,0,98,98,98,98
"9",0,0,100,100,100,100
"10",0,0,100,100,100,100
"11",0,0,100,100,100,100
"12",0,0,98,98,98,98
"13",2,0,98,98,96,98
"14",0,0,100,100,100,100
"15",2,0,98,98,96,98
"16",0,2,94,94,94,92
"17",8,0,100,100,92,100
"18",0,0,100,100,100,100
"19",12,18,94,94,82,76
"20",4,2,96,96,92,94
"21",16,2,100,100,84,98
"22",0,4,96,96,96,92
"23",0,0,96,96,96,96
"24",0,6,98,100,98,94
"25",4,6,100,100,96,94
"26",0,2,98,98,98,96
"27",0,2,100,100,100,98
"28",0,12,100,100,100,88
"29",6,18,96,96,90,78
"30",0,0,100,100,100,100
"31",0,0,98,98,98,98
"32",0,2,96,96,96,94
"33",0,0,100,100,100,100
"34",0,0,100,100,100,100
"35",0,0,98,98,98,98
"36",4,0,98,98,94,98
"37",0,0,98,98,98,98
"38",0,0,96,96,96,96
"39",0,26,100,100,100,74
"40",0,4,98,100,98,96
"41",4,0,100,100,96,100
"42",0,0,94,94,94,94
"43",0,0,94,94,94,94
"44",0,0,100,100,100,100
"45",0,0,100,100,100,100
"46",0,0,96,96,96,96
"47",0,2,100,100,100,98
"48",0,0,100,100,100,100
"49",8,6,94,94,86,88
"50",0,0,98,98,98,98
"51",8,2,100,100,92,98
"52",2,24,100,100,98,76
"53",0,2,96,96,96,94
"54",18,0,100,100,82,100
"55",0,0,100,100,100,100
"56",2,14,98,98,96,84
"57",0,10,90,90,90,80
"58",0,0,94,94,94,94
"59",2,2,100,100,98,98
"60",0,0,100,100,100,100
"61",0,0,100,100,100,100
"62",2,2,94,92,92,90
"63",4,4,98,98,94,94
"64",0,2,100,98,100,96
"65",4,0,100,100,96,100
"66",0,0,96,96,96,96
