"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"649",1,4,100,100,99,96
"650",3,0,99.5,99.5,96.5,99.5
"651",10,0.5,100,100,90,99.5
"652",0,0,100,100,100,100
"653",2.5,0,100,100,97.5,100
"654",1.5,0,100,100,98.5,100
"655",0,0,100,100,100,100
"656",10,5,100,100,90,95
"657",0,5.5,100,100,100,94.5
"658",1.5,3.5,100,100,98.5,96.5
"659",11,16,100,100,89,84
"660",0,0.5,100,100,100,99.5
"661",14.5,11.5,99.5,99.5,85,88
"662",0,0,100,100,100,100
"663",23.5,10.5,100,100,76.5,89.5
"664",0,8.5,100,100,100,91.5
"665",1.5,0,100,100,98.5,100
"666",9.5,13.5,100,100,90.5,86.5
"667",0,0.5,100,100,100,99.5
"668",3.5,10.5,100,100,96.5,89.5
"669",0,3.5,100,100,100,96.5
"670",3.5,1.5,100,100,96.5,98.5
"671",1,0.5,100,100,99,99.5
"672",1.5,10.5,100,100,98.5,89.5
"673",8.5,0.5,100,100,91.5,99.5
"674",0,3.5,100,100,100,96.5
"675",0,2.5,100,100,100,97.5
"676",0,0,100,100,100,100
"677",0,0,100,100,100,100
"678",0,1,100,100,100,99
"679",1,1.5,100,100,99,98.5
"680",2.5,2.5,100,100,97.5,97.5
"681",14.5,4.5,100,100,85.5,95.5
"682",0,0.5,100,100,100,99.5
"683",1.5,0.5,100,100,98.5,99.5
"684",0,0,100,100,100,100
"685",1.5,16,100,100,98.5,84
"686",0,1,100,100,100,99
"687",0,0,100,100,100,100
"688",0,0.5,100,100,100,99.5
"689",0,2.5,100,100,100,97.5
"690",14.5,14,100,100,85.5,86
"691",3.5,0,100,100,96.5,100
"692",2,5,100,100,98,95
"693",0,3.5,100,100,100,96.5
"694",19.5,1.5,100,100,80.5,98.5
"695",0,1.5,100,100,100,98.5
"696",0,2,100,100,100,98
"697",0.5,4,100,100,99.5,96
"698",12.5,7,100,100,87.5,93
"699",0,0.5,100,100,100,99.5
"700",0,0.5,100,100,100,99.5
"701",0,0.5,100,100,100,99.5
"702",0,2,100,100,100,98
"703",2,0,100,100,98,100
"704",8.5,0,100,100,91.5,100
"705",0,3.5,100,100,100,96.5
"706",0,2,100,100,100,98
"707",0,0,100,100,100,100
"708",9.5,1.5,100,100,90.5,98.5
"709",2,3,100,100,98,97
"710",0,0.5,100,100,100,99.5
"711",0.5,1,100,100,99.5,99
"712",0,6,100,100,100,94
"713",18.5,8.5,100,100,81.5,91.5
"714",0,1.5,100,100,100,98.5
"715",0,1.5,99.5,99.5,99.5,98
"716",2,2,100,100,98,98
"717",0.5,0,100,100,99.5,100
"718",0.5,6,100,100,99.5,94
"719",0,0,100,100,100,100
