"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",0,0,99,99,99,99
"2",1,4,99,100,98,96
"3",0,3,100,100,100,97
"4",0,5,100,100,100,95
"5",3,27,100,100,97,73
"6",0,0,100,100,100,100
"7",0,2,100,100,100,98
"8",0,0,100,100,100,100
"9",0,0,99,99,99,99
"10",0,0,100,100,100,100
"11",1,3,99,100,98,97
"12",6,1,99,99,93,98
"13",2,0,100,100,98,100
"14",0,0,100,100,100,100
"15",0,2,98,99,98,97
"16",0,0,99,99,99,99
"17",0,0,99,99,99,99
"18",0,1,100,100,100,99
"19",0,0,99,100,99,100
"20",0,0,98,99,98,99
"21",6,0,100,100,94,100
"22",0,6,100,100,100,94
"23",0,2,99,99,99,97
"24",2,12,100,100,98,88
"25",0,0,99,99,99,99
"26",4,8,99,99,95,91
"27",0,1,99,99,99,98
"28",5,6,99,99,94,93
"29",0,0,100,100,100,100
"30",1,0,98,98,97,98
"31",2,0,99,99,97,99
"32",4,1,100,100,96,99
"33",4,8,100,99,96,91
"34",7,1,99,99,92,98
"35",0,0,98,98,98,98
"36",0,1,100,99,100,98
"37",0,0,98,98,98,98
"38",0,0,98,97,98,97
"39",5,0,99,99,94,99
"40",0,0,98,98,98,98
"41",0,1,100,100,100,99
"42",0,0,99,99,99,99
"43",0,1,100,100,100,99
"44",0,11,100,100,100,89
"45",0,0,100,100,100,100
"46",0,4,100,99,100,95
"47",9,12,100,100,91,88
"48",11,0,100,100,89,100
"49",0,0,100,99,100,99
"50",0,5,100,100,100,95
"51",1,0,100,100,99,100
"52",0,0,99,99,99,99
"53",1,22,100,100,99,78
"54",2,7,98,98,96,91
"55",0,0,99,99,99,99
"56",0,13,100,100,100,87
"57",0,0,100,100,100,100
"58",5,8,100,99,95,91
"59",28,3,99,99,71,96
"60",0,1,100,100,100,99
"61",10,6,100,99,90,93
"62",0,1,100,100,100,99
"63",0,3,99,99,99,96
"64",0,2,98,99,98,97
"65",1,4,99,99,98,95
"66",7,0,98,98,91,98
"67",0,0,99,99,99,99
"68",0,1,100,100,100,99
"69",0,12,99,99,99,87
"70",9,14,99,99,90,85
"71",0,0,100,100,100,100
"72",0,3,100,100,100,97
"73",0,0,99,100,99,100
"74",0,0,99,99,99,99
"75",0,0,99,100,99,100
"76",25,4,97,98,72,94
"77",1,1,99,99,98,98
"78",0,0,99,100,99,100
"79",0,0,99,99,99,99
"80",4,1,100,100,96,99
"81",12,0,100,100,88,100
"82",4,6,100,100,96,94
"83",1,4,99,100,98,96
"84",16,2,98,98,82,96
"85",0,1,100,100,100,99
