"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",0,0,96,96,96,96
"2",0,2,100,100,100,98
"3",10,6,100,100,90,94
"4",0,0,100,100,100,100
"5",0,4,90,90,90,86
"6",0,0,100,100,100,100
"7",0,4,94,96,94,92
"8",0,0,96,96,96,96
"9",8,0,76,76,68,76
"10",4,0,100,100,96,100
"11",2,2,90,92,88,90
"12",0,6,98,98,98,92
"13",0,0,86,86,86,86
"14",0,8,64,68,64,60
"15",0,0,62,64,62,64
"16",0,6,100,100,100,94
"17",2,0,98,98,96,98
"18",8,0,76,78,68,78
"19",2,0,82,82,80,82
"20",0,0,100,100,100,100
"21",0,8,100,100,100,92
"22",6,0,94,94,88,94
"23",2,6,90,90,88,84
"24",0,0,100,100,100,100
"25",0,0,90,88,90,88
"26",0,4,92,94,92,90
"27",0,2,92,90,92,88
"28",2,6,92,92,90,86
"29",2,0,98,96,96,96
"30",12,6,92,94,80,88
"31",2,0,86,82,84,82
"32",2,6,96,92,94,86
"33",0,8,100,100,100,92
"34",0,0,98,98,98,98
"35",0,0,94,94,94,94
"36",0,2,94,90,94,88
"37",10,14,100,100,90,86
"38",0,6,98,98,98,92
"39",0,2,76,76,76,74
"40",2,6,94,94,92,88
"41",0,2,100,100,100,98
"42",0,0,100,100,100,100
"43",0,2,94,94,94,92
"44",0,0,100,100,100,100
"45",0,14,100,100,100,86
"46",6,0,84,86,78,86
"47",0,16,96,96,96,80
"48",0,0,86,86,86,86
"49",8,12,84,84,76,72
"50",0,0,98,98,98,98
"51",0,0,98,98,98,98
"52",0,2,92,92,92,90
"53",0,4,88,88,88,84
"54",0,0,88,88,88,88
"55",0,0,98,98,98,98
"56",0,0,70,72,70,72
"57",4,4,58,56,54,52
"58",4,0,98,98,94,98
"59",6,2,94,94,88,92
"60",24,0,100,100,76,100
"61",0,0,80,82,80,82
"62",0,0,100,100,100,100
"63",0,2,98,98,98,96
"64",2,12,80,80,78,68
"65",2,6,92,96,90,90
"66",6,8,98,96,92,88
"67",0,4,96,96,96,92
"68",12,10,92,92,80,82
"69",0,16,98,98,98,82
"70",8,2,98,98,90,96
"71",0,0,100,100,100,100
"72",0,0,86,82,86,82
"73",0,6,94,90,94,84
"74",2,6,98,98,96,92
"75",10,0,100,100,90,100
"76",0,0,94,94,94,94
"77",8,0,82,82,74,82
"78",12,8,68,62,56,54
"79",0,0,98,98,98,98
"80",0,0,96,98,96,98
"81",0,0,98,98,98,98
"82",34,2,94,94,60,92
"83",0,0,92,88,92,88
"84",4,0,96,96,92,96
"85",2,2,98,96,96,94
"86",0,0,94,94,94,94
"87",0,0,92,92,92,92
"88",14,0,66,66,52,66
"89",0,2,90,92,90,90
"90",0,0,100,100,100,100
"91",0,2,94,92,94,90
"92",0,2,98,98,98,96
"93",0,4,92,92,92,88
"94",2,2,98,98,96,96
"95",0,28,100,100,100,72
"96",0,8,90,92,90,84
"97",0,0,82,82,82,82
"98",0,2,86,86,86,84
"99",2,6,74,76,72,70
"100",0,0,96,96,96,96
"101",0,0,92,92,92,92
"102",0,0,94,92,94,92
"103",0,0,92,92,92,92
"104",2,0,90,88,88,88
"105",6,20,86,88,80,68
"106",0,6,98,98,98,92
"107",4,18,90,90,86,72
"108",20,2,70,72,50,70
"109",2,8,96,96,94,88
"110",4,2,88,86,84,84
"111",0,4,98,98,98,94
"112",0,0,94,94,94,94
"113",0,0,76,76,76,76
"114",4,18,96,96,92,78
"115",0,6,88,88,88,82
"116",0,6,98,98,98,92
"117",16,2,100,100,84,98
"118",0,0,84,86,84,86
"119",0,2,98,98,98,96
"120",0,10,98,98,98,88
"121",0,0,92,94,92,94
"122",0,0,98,96,98,96
"123",8,10,60,66,52,56
"124",0,0,90,90,90,90
"125",0,4,72,72,72,68
"126",0,0,88,88,88,88
"127",0,0,86,84,86,84
"128",0,0,96,96,96,96
"129",0,0,92,90,92,90
"130",6,0,84,84,78,84
"131",0,0,98,98,98,98
"132",0,18,86,86,86,68
"133",0,2,98,96,98,94
"134",28,6,98,98,70,92
"135",0,0,66,72,66,72
"136",0,0,94,94,94,94
"137",0,0,98,96,98,96
"138",0,0,90,90,90,90
"139",0,0,80,80,80,80
"140",4,2,72,76,68,74
"141",0,0,94,96,94,96
"142",0,2,90,90,90,88
"143",6,0,94,94,88,94
"144",2,0,90,94,88,94
"145",0,0,96,96,96,96
"146",0,0,94,94,94,94
"147",0,0,72,74,72,74
"148",0,0,98,98,98,98
"149",0,0,100,100,100,100
"150",0,0,80,82,80,82
"151",0,4,100,98,100,94
"152",0,0,100,100,100,100
"153",0,2,100,100,100,98
"154",0,2,96,96,96,94
"155",0,4,98,98,98,94
"156",2,18,92,92,90,74
"157",0,4,94,94,94,90
"158",0,0,98,98,98,98
"159",6,8,78,72,72,64
"160",0,4,94,96,94,92
"161",0,8,92,90,92,82
"162",24,10,94,94,70,84
"163",0,0,98,98,98,98
"164",0,22,92,90,92,68
"165",0,0,100,100,100,100
"166",8,0,100,100,92,100
"167",0,0,94,94,94,94
"168",0,2,98,98,98,96
"169",4,0,98,98,94,98
"170",0,0,98,98,98,98
"171",0,0,98,98,98,98
"172",2,0,98,98,96,98
"173",0,8,94,94,94,86
"174",0,0,98,100,98,100
"175",14,0,84,80,70,80
"176",0,2,88,88,88,86
"177",0,0,98,98,98,98
"178",4,0,98,98,94,98
