"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",18,0,100,100,82,100
"2",0,0,100,100,100,100
"3",0,2,100,100,100,98
"4",0,0,99,100,99,100
"5",0,0,99,99,99,99
"6",0,7,99,100,99,93
"7",22,9,100,100,78,91
"8",0,0,100,100,100,100
"9",0,0,100,100,100,100
"10",2,0,100,100,98,100
"11",0,4,100,100,100,96
"12",0,0,100,100,100,100
"13",2,0,100,100,98,100
"14",23,0,100,100,77,100
"15",0,20,98,98,98,78
"16",15,4,100,100,85,96
"17",13,4,100,100,87,96
"18",0,1,100,100,100,99
"19",1,0,100,100,99,100
"20",3,4,100,100,97,96
"21",0,0,100,100,100,100
"22",0,3,100,100,100,97
"23",11,19,99,99,88,80
"24",0,2,100,100,100,98
"25",17,0,100,100,83,100
"26",1,2,100,100,99,98
"27",0,0,100,100,100,100
"28",1,4,100,100,99,96
"29",0,0,99,99,99,99
"30",0,1,100,100,100,99
"31",3,0,100,100,97,100
"32",5,5,100,100,95,95
"33",0,4,97,97,97,93
"34",0,0,100,100,100,100
"35",0,6,99,99,99,93
"36",0,0,100,100,100,100
"37",1,0,100,100,99,100
"38",5,1,99,99,94,98
"39",0,0,99,99,99,99
"40",0,0,100,100,100,100
"41",0,0,100,100,100,100
"42",0,0,100,100,100,100
"43",0,0,98,98,98,98
"44",0,1,100,100,100,99
"45",1,1,98,98,97,97
"46",1,5,100,100,99,95
"47",0,2,100,100,100,98
"48",0,0,100,100,100,100
"49",1,7,100,100,99,93
"50",1,0,100,100,99,100
"51",0,2,100,100,100,98
"52",2,6,100,100,98,94
"53",0,10,100,100,100,90
"54",0,1,98,98,98,97
"55",2,12,100,100,98,88
"56",5,5,99,99,94,94
"57",0,2,99,99,99,97
"58",0,2,100,100,100,98
"59",0,0,100,100,100,100
"60",0,9,100,100,100,91
"61",0,0,100,100,100,100
"62",0,0,98,98,98,98
"63",0,1,100,100,100,99
"64",1,1,100,100,99,99
"65",17,17,100,100,83,83
"66",3,1,100,100,97,99
"67",0,1,100,100,100,99
"68",0,1,99,99,99,98
"69",0,1,99,99,99,98
"70",3,0,100,100,97,100
"71",0,0,100,100,100,100
"72",14,20,99,99,85,79
"73",2,1,99,99,97,98
"74",1,3,100,100,99,97
"75",0,0,100,100,100,100
"76",0,0,100,100,100,100
"77",0,14,100,100,100,86
"78",0,0,100,100,100,100
"79",1,1,100,100,99,99
"80",2,20,99,99,97,79
"81",0,12,99,99,99,87
"82",2,0,100,100,98,100
"83",0,2,100,100,100,98
"84",0,2,100,100,100,98
"85",4,0,99,99,95,99
"86",0,1,98,100,98,99
"87",0,0,100,100,100,100
"88",8,0,99,99,91,99
"89",3,5,100,100,97,95
"90",0,6,99,99,99,93
"91",0,0,99,99,99,99
"92",0,0,100,100,100,100
"93",0,3,100,100,100,97
