"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"208",14,0,64,63,50,63
"209",0,0,73,73,73,73
"210",0,0,78,78,78,78
"211",24,2,93,94,69,92
"212",1,0,86,86,85,86
"213",1,0,80,80,79,80
"214",1,27,82,83,81,56
"215",0,0,91,92,91,92
"216",0,2,75,77,75,75
"217",0,13,65,64,65,51
"218",0,6,82,85,82,79
"219",0,0,72,72,72,72
"220",0,12,69,69,69,57
"221",3,0,64,65,61,65
"222",1,2,67,65,66,63
"223",0,26,68,67,68,41
"224",1,1,79,79,78,78
"225",3,9,86,84,83,75
"226",0,1,84,84,84,83
"227",32,30,75,74,43,44
"228",2,0,69,72,67,72
"229",0,0,78,76,78,76
"230",0,0,69,70,69,70
"231",17,0,97,98,80,98
"232",0,0,60,62,60,62
"233",0,0,72,70,72,70
"234",0,6,76,77,76,71
"235",0,7,80,80,80,73
"236",0,3,86,87,86,84
"237",0,0,68,68,68,68
"238",0,6,77,78,77,72
"239",12,12,79,80,67,68
"240",0,0,69,69,69,69
"241",27,16,59,61,32,45
"242",0,6,76,78,76,72
"243",0,0,71,71,71,71
"244",20,2,74,74,54,72
"245",0,6,90,90,90,84
"246",7,1,73,73,66,72
"247",0,0,94,94,94,94
"248",0,2,83,84,83,82
"249",27,0,86,87,59,87
"250",19,4,96,94,77,90
"251",0,2,83,83,83,81
"252",0,5,74,73,74,68
"253",2,1,85,85,83,84
"254",6,12,81,82,75,70
"255",7,12,75,79,68,67
"256",3,8,75,73,72,65
"257",0,0,67,68,67,68
"258",1,0,94,95,93,95
"259",9,0,100,99,91,99
"260",5,2,77,75,72,73
"261",14,0,78,81,64,81
"262",0,0,81,81,81,81
"263",0,0,67,67,67,67
"264",1,14,92,91,91,77
"265",0,1,63,63,63,62
"266",1,1,78,79,77,78
"267",1,4,78,77,77,73
"268",5,4,62,63,57,59
"269",1,2,72,73,71,71
"270",0,0,78,78,78,78
"271",0,14,84,83,84,69
"272",0,6,87,88,87,82
"273",0,0,75,74,75,74
"274",19,0,72,74,53,74
"275",0,0,66,66,66,66
"276",0,2,84,83,84,81
"277",0,4,87,86,87,82
"278",7,0,85,84,78,84
"279",3,4,78,78,75,74
"280",0,0,65,66,65,66
"281",1,19,76,76,75,57
"282",5,0,75,75,70,75
"283",16,0,82,82,66,82
"284",0,5,68,68,68,63
"285",0,2,78,80,78,78
"286",0,0,73,74,73,74
"287",3,20,79,81,76,61
"288",0,0,77,78,77,78
"289",2,2,72,69,70,67
"290",0,1,77,77,77,76
"291",1,0,74,74,73,74
"292",8,5,80,78,72,73
"293",0,0,83,82,83,82
"294",0,8,90,89,90,81
"295",1,1,98,98,97,97
"296",6,1,91,91,85,90
"297",0,0,73,74,73,74
"298",0,3,70,71,70,68
"299",1,4,74,75,73,71
"300",0,0,87,87,87,87
"301",0,0,80,81,80,81
"302",0,0,72,73,72,73
"303",0,1,70,69,70,68
"304",0,1,82,83,82,82
"305",0,0,76,76,76,76
"306",8,0,87,86,79,86
"307",2,18,64,63,62,45
"308",6,2,83,80,77,78
"309",6,0,70,71,64,71
"310",0,0,82,81,82,81
"311",0,17,82,83,82,66
"312",11,0,75,75,64,75
"313",0,5,82,82,82,77
"314",0,1,69,72,69,71
"315",0,0,81,81,81,81
"316",0,1,78,77,78,76
"317",7,0,88,87,81,87
"318",9,1,81,80,72,79
"319",29,25,82,80,53,55
"320",0,0,73,74,73,74
"321",0,1,79,80,79,79
"322",0,1,90,91,90,90
"323",0,13,64,66,64,53
