"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",0,2,98,98,98,96
"2",36,36,100,100,64,64
"3",8,0,100,100,92,100
"4",1,0,100,100,99,100
"5",4,6,100,100,96,94
"6",0,4,100,100,100,96
"7",8,0,100,100,92,100
"8",0,6,100,100,100,94
"9",0,2,100,100,100,98
"10",0,0,100,100,100,100
"11",0,1,100,100,100,99
"12",14,9,100,100,86,91
"13",0,4,100,100,100,96
"14",0,6,100,100,100,94
"15",8,4,100,100,92,96
"16",1,3,100,100,99,97
"17",0,0,100,100,100,100
"18",0,0,100,100,100,100
"19",1,4,100,100,99,96
"20",3,0,100,100,97,100
"21",6,2,100,100,94,98
"22",1,0,100,100,99,100
"23",0,0,100,100,100,100
"24",6,1,100,100,94,99
"25",17,1,100,100,83,99
"26",0,0,100,100,100,100
"27",0,0,100,100,100,100
"28",0,7,100,100,100,93
"29",0,4,100,100,100,96
"30",0,2,100,100,100,98
"31",0,1,100,100,100,99
"32",4,0,100,100,96,100
"33",1,8,100,100,99,92
"34",0,0,100,100,100,100
"35",0,1,100,100,100,99
"36",0,1,100,100,100,99
"37",5,0,100,100,95,100
"38",12,9,100,100,88,91
"39",1,3,100,100,99,97
"40",1,0,100,100,99,100
"41",7,0,99,99,92,99
"42",0,0,100,100,100,100
"43",2,2,99,99,97,97
"44",0,7,100,100,100,93
"45",12,8,100,100,88,92
"46",0,0,100,100,100,100
"47",0,0,100,100,100,100
"48",0,1,99,99,99,98
"49",0,4,100,100,100,96
"50",1,6,99,99,98,93
"51",6,1,100,100,94,99
"52",0,0,100,100,100,100
"53",3,3,100,100,97,97
"54",0,10,99,99,99,89
"55",2,2,99,99,97,97
"56",17,0,100,100,83,100
"57",0,1,100,100,100,99
"58",0,11,99,99,99,88
"59",0,13,100,100,100,87
"60",3,1,100,100,97,99
"61",11,27,100,100,89,73
"62",0,0,100,100,100,100
"63",0,5,99,99,99,94
"64",0,7,100,100,100,93
"65",5,2,100,100,95,98
"66",0,0,99,99,99,99
"67",0,0,100,100,100,100
"68",3,2,99,99,96,97
"69",0,0,99,99,99,99
"70",16,3,100,100,84,97
"71",7,0,100,100,93,100
"72",15,0,100,100,85,100
"73",0,0,100,100,100,100
"74",0,5,100,100,100,95
"75",3,6,100,100,97,94
"76",0,0,100,100,100,100
"77",0,2,100,100,100,98
"78",0,4,100,100,100,96
"79",0,27,100,100,100,73
"80",0,0,100,100,100,100
"81",2,1,100,100,98,99
"82",4,1,100,100,96,99
