"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",0,0,100,100,100,100
"2",16,0,100,100,84,100
"3",15,0,100,100,85,100
"4",0,0,100,100,100,100
"5",0,0,100,100,100,100
"6",10,0,100,100,90,100
"7",0,0,100,100,100,100
"8",12,10,100,100,88,90
"9",0,4,100,100,100,96
"10",0,11,100,100,100,89
"11",0,0,100,100,100,100
"12",0,0,100,100,100,100
"13",0,0,100,100,100,100
"14",0,0,100,100,100,100
"15",1,0,100,100,99,100
"16",5,1,100,100,95,99
"17",4,0,100,100,96,100
"18",0,0,100,100,100,100
"19",0,0,100,100,100,100
"20",0,15,100,100,100,85
"21",1,6,100,100,99,94
"22",15,5,100,100,85,95
"23",0,16,100,100,100,84
"24",2,1,100,100,98,99
"25",1,0,100,100,99,100
"26",0,2,100,100,100,98
"27",7,0,100,100,93,100
"28",1,4,100,100,99,96
"29",16,1,100,100,84,99
"30",2,0,100,100,98,100
"31",2,5,100,100,98,95
"32",2,15,100,100,98,85
"33",0,0,100,100,100,100
"34",4,7,100,100,96,93
"35",0,4,100,100,100,96
"36",0,4,100,100,100,96
"37",0,1,100,100,100,99
"38",0,0,100,100,100,100
"39",0,8,100,100,100,92
"40",0,0,100,100,100,100
"41",0,1,100,100,100,99
"42",0,6,100,100,100,94
"43",0,1,100,100,100,99
"44",4,1,100,100,96,99
"45",1,1,100,100,99,99
"46",0,0,100,100,100,100
"47",0,0,100,100,100,100
"48",5,0,100,100,95,100
"49",0,0,100,100,100,100
"50",0,0,100,100,100,100
"51",3,13,100,100,97,87
"52",0,11,100,100,100,89
"53",2,19,100,100,98,81
"54",0,0,100,100,100,100
"55",0,0,100,100,100,100
"56",0,0,100,100,100,100
"57",1,3,100,100,99,97
"58",0,1,100,100,100,99
"59",0,1,100,100,100,99
"60",0,7,100,100,100,93
"61",0,0,100,100,100,100
"62",0,10,100,100,100,90
"63",0,1,100,100,100,99
"64",1,2,100,100,99,98
"65",1,4,100,100,99,96
"66",0,7,100,100,100,93
"67",0,0,100,100,100,100
"68",0,0,100,100,100,100
"69",1,8,100,100,99,92
"70",0,0,100,100,100,100
"71",5,22,100,100,95,78
"72",0,4,100,100,100,96
"73",1,2,100,100,99,98
"74",0,4,100,100,100,96
"75",0,0,100,100,100,100
"76",1,0,100,100,99,100
"77",2,7,100,100,98,93
"78",2,0,100,100,98,100
"79",4,0,100,100,96,100
"80",0,0,100,100,100,100
