"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",0,0,82,76,82,76
"2",0,0,90,88,90,88
"3",0,0,82,84,82,84
"4",0,2,88,90,88,88
"5",0,2,86,86,86,84
"6",0,0,88,88,88,88
"7",0,0,88,88,88,88
"8",0,0,86,86,86,86
"9",20,34,72,74,52,40
"10",0,0,90,90,90,90
"11",0,2,78,78,78,76
"12",0,0,74,74,74,74
"13",0,0,82,82,82,82
"14",2,0,82,82,80,82
"15",0,0,96,94,96,94
"16",0,0,86,88,86,88
"17",0,6,90,90,90,84
"18",0,4,92,92,92,88
"19",6,0,72,74,66,74
"20",0,8,78,78,78,70
"21",2,14,90,92,88,78
"22",0,2,72,76,72,74
"23",10,6,80,80,70,74
"24",0,0,78,78,78,78
"25",0,0,86,86,86,86
"26",0,4,94,94,94,90
"27",0,0,76,76,76,76
"28",0,2,74,74,74,72
"29",2,2,94,94,92,92
"30",0,12,76,74,76,62
"31",0,0,84,84,84,84
"32",0,0,86,86,86,86
"33",0,12,88,88,88,76
"34",0,2,82,82,82,80
"35",0,0,94,94,94,94
"36",0,0,88,90,88,90
"37",0,0,90,90,90,90
"38",0,0,82,82,82,82
"39",0,0,86,86,86,86
"40",0,0,80,80,80,80
"41",0,8,82,82,82,74
"42",0,0,82,82,82,82
"43",0,4,88,86,88,82
"44",0,0,88,88,88,88
"45",4,0,90,88,86,88
"46",10,22,92,92,82,70
"47",4,30,82,82,78,52
"48",0,2,94,94,94,92
"49",0,2,86,86,86,84
"50",2,8,86,88,84,80
"51",0,0,92,92,92,92
"52",0,0,86,86,86,86
"53",0,4,86,86,86,82
"54",0,0,76,76,76,76
"55",0,4,78,76,78,72
"56",4,2,94,94,90,92
"57",0,2,88,88,88,86
"58",0,14,78,80,78,66
"59",0,0,80,80,80,80
"60",0,0,84,84,84,84
"61",8,0,98,100,90,100
"62",0,0,88,90,88,90
"63",0,0,78,78,78,78
"64",0,2,84,84,84,82
"65",2,0,80,82,78,82
"66",0,0,80,78,80,78
"67",0,0,88,86,88,86
"68",4,0,80,82,76,82
"69",2,6,92,90,90,84
"70",2,2,80,80,78,78
"71",0,0,86,84,86,84
"72",4,2,92,92,88,90
"73",0,2,90,88,90,86
"74",0,0,80,80,80,80
"75",0,4,84,84,84,80
"76",0,0,82,82,82,82
"77",8,10,84,84,76,74
"78",2,0,86,86,84,86
"79",0,0,78,78,78,78
"80",0,0,76,76,76,76
"81",0,4,78,80,78,76
"82",0,2,80,80,80,78
"83",0,0,86,86,86,86
"84",0,0,82,80,82,80
"85",0,2,76,76,76,74
"86",0,2,88,90,88,88
"87",0,2,86,86,86,84
"88",0,0,80,80,80,80
"89",0,6,86,86,86,80
"90",8,6,72,70,64,64
"91",2,0,80,80,78,80
"92",0,0,90,88,90,88
"93",0,0,96,96,96,96
"94",2,2,78,78,76,76
"95",0,0,94,94,94,94
"96",4,0,94,92,90,92
"97",0,0,90,90,90,90
"98",2,4,94,94,92,90
"99",0,0,74,74,74,74
"100",0,0,92,92,92,92
"101",0,0,78,80,78,80
"102",0,4,84,82,84,78
"103",0,0,98,98,98,98
"104",0,0,94,94,94,94
"105",0,0,96,96,96,96
"106",0,0,88,88,88,88
"107",0,0,88,88,88,88
"108",0,0,80,82,80,82
"109",0,2,80,78,80,76
"110",0,0,72,72,72,72
"111",2,0,88,88,86,88
"112",0,4,78,78,78,74
"113",2,0,82,82,80,82
"114",0,2,88,90,88,88
"115",0,0,92,90,92,90
"116",0,4,88,88,88,84
"117",0,2,88,88,88,86
"118",4,4,86,86,82,82
"119",0,0,88,88,88,88
"120",0,0,78,76,78,76
"121",0,4,76,76,76,72
"122",0,0,80,80,80,80
"123",4,2,88,90,84,88
"124",0,2,100,98,100,96
"125",0,2,82,84,82,82
"126",0,0,80,78,80,78
"127",0,2,76,76,76,74
"128",0,0,76,76,76,76
"129",0,0,90,90,90,90
"130",0,0,90,90,90,90
"131",0,0,76,76,76,76
"132",0,0,90,88,90,88
"133",2,6,82,84,80,78
"134",6,0,80,80,74,80
"135",0,0,92,92,92,92
"136",0,0,84,86,84,86
"137",0,10,88,88,88,78
"138",0,0,76,76,76,76
"139",0,6,88,90,88,84
"140",0,0,76,76,76,76
"141",2,4,88,88,86,84
"142",2,0,86,88,84,88
"143",0,0,86,86,86,86
"144",0,0,80,80,80,80
"145",2,2,94,94,92,92
"146",0,2,80,80,80,78
"147",2,18,84,84,82,66
"148",0,0,90,90,90,90
"149",8,0,90,88,82,88
"150",0,0,80,80,80,80
"151",2,0,82,82,80,82
"152",12,10,92,92,80,82
"153",0,6,88,86,88,80
"154",0,0,94,94,94,94
"155",0,0,84,86,84,86
"156",0,0,88,86,88,86
"157",0,0,80,78,80,78
"158",0,0,78,78,78,78
"159",2,2,96,94,94,92
"160",2,6,78,80,76,74
"161",0,0,70,70,70,70
