"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",5,4,100,100,95,96
"2",0,0,96,96,96,96
"3",0,0,100,100,100,100
"4",2,1,99,99,97,98
"5",12,9,100,100,88,91
"6",0,5,99,99,99,94
"7",1,0,99,99,98,99
"8",7,0,99,99,92,99
"9",2,1,100,100,98,99
"10",0,0,99,99,99,99
"11",2,1,99,99,97,98
"12",1,1,100,100,99,99
"13",0,0,99,99,99,99
"14",0,1,100,100,100,99
"15",0,0,99,99,99,99
"16",0,0,100,100,100,100
"17",0,0,99,99,99,99
"18",12,0,99,99,87,99
"19",0,0,98,98,98,98
"20",0,1,99,99,99,98
"21",2,0,100,100,98,100
"22",0,7,98,98,98,91
"23",0,0,99,99,99,99
"24",11,7,100,100,89,93
"25",4,10,100,100,96,90
"26",8,28,99,99,91,71
"27",0,0,99,99,99,99
"28",4,0,100,100,96,100
"29",3,0,99,99,96,99
"30",0,1,100,100,100,99
"31",12,3,99,99,87,96
"32",0,0,96,96,96,96
"33",1,0,99,99,98,99
"34",0,0,99,99,99,99
"35",0,2,99,99,99,97
"36",0,0,100,100,100,100
"37",1,0,99,99,98,99
"38",0,0,98,98,98,98
"39",4,3,97,97,93,94
"40",0,10,96,96,96,86
"41",0,0,100,99,100,99
"42",1,3,100,100,99,97
"43",0,0,99,99,99,99
"44",2,12,98,98,96,86
"45",11,3,99,99,88,96
"46",1,0,100,100,99,100
"47",2,0,100,100,98,100
"48",0,3,100,100,100,97
"49",0,1,98,98,98,97
"50",0,0,100,100,100,100
"51",0,0,100,100,100,100
"52",23,5,100,100,77,95
"53",0,0,99,99,99,99
"54",1,6,98,98,97,92
"55",0,4,100,100,100,96
"56",14,0,100,100,86,100
"57",1,0,100,100,99,100
"58",3,0,100,100,97,100
"59",0,0,99,99,99,99
"60",0,0,100,100,100,100
"61",0,1,99,99,99,98
"62",1,8,100,100,99,92
"63",0,3,100,100,100,97
"64",0,1,98,98,98,97
"65",0,0,100,100,100,100
"66",3,0,98,98,95,98
"67",0,0,99,99,99,99
"68",3,3,100,100,97,97
"69",0,0,98,98,98,98
"70",8,16,99,99,91,83
"71",0,5,98,98,98,93
"72",0,1,99,99,99,98
"73",0,0,100,100,100,100
"74",1,8,100,100,99,92
"75",16,6,97,97,81,91
"76",2,19,99,99,97,80
"77",0,0,96,96,96,96
"78",0,0,99,99,99,99
"79",0,0,99,99,99,99
"80",0,0,99,99,99,99
"81",0,7,97,97,97,90
"82",0,1,99,99,99,98
"83",0,0,99,99,99,99
"84",0,1,99,99,99,98
"85",0,0,100,100,100,100
"86",0,0,99,99,99,99
"87",0,1,97,97,97,96
"88",0,3,99,99,99,96
"89",0,15,99,99,99,84
"90",2,5,99,99,97,94
"91",17,7,99,99,82,92
"92",4,5,99,99,95,94
"93",2,6,99,99,97,93
"94",13,0,96,96,83,96
"95",7,5,100,100,93,95
"96",13,14,99,99,86,85
"97",0,10,95,95,95,85
"98",0,1,99,99,99,98
"99",7,2,100,100,93,98
"100",1,1,100,100,99,99
"101",3,4,99,99,96,95
"102",0,1,98,98,98,97
"103",1,0,98,98,97,98
"104",0,0,100,100,100,100
"105",0,0,100,100,100,100
"106",0,0,100,100,100,100
"107",0,0,98,98,98,98
"108",4,0,100,100,96,100
"109",2,0,99,99,97,99
"110",2,18,98,98,96,80
"111",0,0,98,98,98,98
"112",5,0,100,100,95,100
"113",0,0,99,99,99,99
"114",0,6,100,100,100,94
"115",0,0,99,99,99,99
"116",0,0,100,100,100,100
"117",0,0,100,100,100,100
"118",0,0,100,100,100,100
"119",3,3,99,99,96,96
"120",0,13,100,100,100,87
"121",0,0,99,99,99,99
"122",0,0,100,100,100,100
"123",0,0,98,98,98,98
"124",1,0,100,100,99,100
"125",2,9,99,99,97,90
"126",3,9,99,99,96,90
"127",0,7,100,100,100,93
"128",7,0,100,100,93,100
"129",0,1,100,100,100,99
"130",3,2,100,100,97,98
"131",0,0,100,100,100,100
"132",2,0,99,99,97,99
"133",0,0,99,99,99,99
"134",0,0,98,98,98,98
"135",0,7,100,100,100,93
"136",0,0,97,97,97,97
"137",4,0,99,99,95,99
"138",0,0,99,99,99,99
"139",0,0,99,99,99,99
"140",0,0,99,99,99,99
"141",2,1,99,99,97,98
"142",5,0,100,100,95,100
"143",0,0,100,100,100,100
"144",0,3,98,98,98,95
"145",2,4,100,100,98,96
"146",2,10,99,99,97,89
"147",10,6,99,99,89,93
"148",4,0,100,100,96,100
"149",1,0,98,98,97,98
"150",1,1,100,100,99,99
"151",0,0,99,99,99,99
"152",0,3,99,99,99,96
"153",0,0,99,99,99,99
"154",0,0,100,100,100,100
"155",1,1,99,99,98,98
"156",0,1,98,98,98,97
"157",1,4,99,99,98,95
"158",1,3,100,100,99,97
"159",1,0,100,100,99,100
"160",0,1,100,100,100,99
"161",1,0,98,98,97,98
"162",0,0,100,100,100,100
"163",0,0,96,96,96,96
"164",0,0,99,99,99,99
"165",0,3,99,99,99,96
"166",0,0,100,100,100,100
"167",0,0,99,99,99,99
"168",1,5,100,100,99,95
"169",1,0,99,99,98,99
"170",29,15,100,100,71,85
"171",0,2,100,100,100,98
"172",0,1,100,100,100,99
"173",0,1,100,100,100,99
"174",2,5,100,100,98,95
"175",0,1,100,100,100,99
"176",0,0,97,97,97,97
"177",0,0,100,100,100,100
"178",0,0,100,100,100,100
"179",1,0,100,100,99,100
"180",6,11,100,100,94,89
"181",0,1,99,99,99,98
"182",0,1,100,100,100,99
"183",14,0,100,100,86,100
"184",6,4,100,100,94,96
"185",5,6,99,99,94,93
"186",20,3,100,100,80,97
"187",3,16,96,96,93,80
"188",0,0,94,94,94,94
"189",1,1,99,99,98,98
"190",0,2,100,100,100,98
"191",0,1,99,99,99,98
"192",0,1,98,98,98,97
"193",0,0,96,96,96,96
"194",2,10,100,100,98,90
"195",5,9,100,100,95,91
"196",0,0,99,99,99,99
"197",1,1,100,100,99,99
"198",0,0,98,98,98,98
"199",1,2,100,100,99,98
"200",0,1,99,99,99,98
"201",1,8,99,99,98,91
"202",0,0,99,99,99,99
"203",0,0,98,98,98,98
"204",0,1,99,99,99,98
"205",1,7,99,99,98,92
"206",0,0,99,99,99,99
"207",0,1,100,100,100,99
"208",2,0,100,100,98,100
"209",2,2,100,100,98,98
"210",10,18,100,100,90,82
"211",0,0,99,99,99,99
"212",0,0,98,98,98,98
"213",0,0,98,98,98,98
"214",0,0,97,97,97,97
"215",0,0,100,100,100,100
"216",2,7,100,100,98,93
"217",1,3,97,97,96,94
"218",0,0,99,99,99,99
"219",2,4,100,100,98,96
"220",8,14,100,100,92,86
"221",0,0,99,99,99,99
"222",8,0,100,100,92,100
"223",0,0,99,99,99,99
"224",0,0,99,99,99,99
"225",0,4,100,100,100,96
"226",0,2,99,99,99,97
"227",0,0,98,98,98,98
"228",0,0,99,99,99,99
"229",3,0,100,100,97,100
"230",8,0,98,98,90,98
"231",4,8,100,100,96,92
"232",0,1,100,100,100,99
"233",0,8,100,100,100,92
"234",0,0,98,98,98,98
"235",0,0,99,99,99,99
"236",10,9,97,96,87,87
"237",2,0,100,100,98,100
"238",11,0,100,100,89,100
"239",0,0,98,98,98,98
"240",0,0,98,98,98,98
"241",0,0,100,100,100,100
"242",1,1,97,97,96,96
"243",0,1,100,100,100,99
"244",0,3,95,95,95,92
"245",5,8,99,99,94,91
"246",0,3,98,98,98,95
"247",0,4,100,100,100,96
"248",0,0,100,100,100,100
"249",0,0,100,100,100,100
"250",3,0,100,100,97,100
"251",0,1,100,100,100,99
"252",0,4,100,100,100,96
"253",0,3,100,100,100,97
"254",0,6,99,99,99,93
"255",1,5,100,100,99,95
"256",4,1,100,100,96,99
"257",1,1,99,99,98,98
"258",0,0,99,99,99,99
"259",0,2,100,100,100,98
"260",4,0,98,98,94,98
"261",0,1,100,100,100,99
"262",1,1,99,99,98,98
"263",0,0,100,100,100,100
"264",0,1,99,99,99,98
"265",8,21,100,100,92,79
"266",1,0,98,98,97,98
"267",0,0,99,99,99,99
"268",0,0,98,98,98,98
"269",1,9,99,99,98,90
"270",1,2,99,99,98,97
"271",9,11,100,100,91,89
"272",4,20,96,96,92,76
"273",1,19,99,99,98,80
"274",0,7,100,100,100,93
"275",2,2,99,99,97,97
"276",0,4,98,98,98,94
"277",0,5,99,99,99,94
"278",1,0,98,98,97,98
"279",0,1,97,97,97,96
"280",0,0,99,99,99,99
"281",0,5,97,97,97,92
"282",0,1,100,100,100,99
"283",0,1,100,100,100,99
"284",0,0,100,100,100,100
"285",2,4,99,99,97,95
"286",5,2,100,100,95,98
"287",0,2,100,100,100,98
"288",0,2,99,99,99,97
"289",11,0,98,98,87,98
"290",2,0,99,99,97,99
"291",3,2,100,100,97,98
"292",1,1,100,100,99,99
"293",1,2,100,100,99,98
"294",0,1,100,100,100,99
"295",0,0,100,100,100,100
"296",0,1,100,100,100,99
"297",2,9,100,100,98,91
"298",0,0,99,99,99,99
"299",24,3,99,99,75,96
"300",0,5,98,98,98,93
"301",0,8,100,100,100,92
"302",1,0,100,100,99,100
"303",0,0,99,99,99,99
"304",0,0,100,100,100,100
"305",0,1,99,99,99,98
"306",5,7,100,100,95,93
"307",13,3,100,100,87,97
"308",0,0,99,99,99,99
"309",0,0,99,99,99,99
"310",0,0,99,99,99,99
"311",0,5,98,98,98,93
"312",0,1,98,98,98,97
"313",2,0,98,98,96,98
"314",4,3,100,100,96,97
"315",1,8,99,99,98,91
"316",0,2,99,99,99,97
"317",0,2,99,99,99,97
"318",7,16,99,99,92,83
"319",3,0,99,99,96,99
"320",6,6,100,100,94,94
"321",0,0,99,99,99,99
"322",0,0,100,100,100,100
"323",0,28,100,100,100,72
"324",2,7,99,99,97,92
"325",0,1,100,100,100,99
"326",0,0,100,100,100,100
"327",1,1,97,97,96,96
"328",0,0,100,100,100,100
"329",3,0,100,100,97,100
"330",3,0,99,99,96,99
"331",0,8,100,100,100,92
"332",0,0,100,100,100,100
"333",1,0,100,100,99,100
"334",3,3,100,100,97,97
"335",1,2,98,98,97,96
"336",0,4,99,99,99,95
"337",4,1,98,98,94,97
"338",18,9,100,100,82,91
"339",1,0,99,99,98,99
"340",0,1,100,100,100,99
"341",0,0,98,98,98,98
"342",0,0,100,100,100,100
"343",0,0,100,100,100,100
"344",18,8,100,100,82,92
"345",0,4,100,100,100,96
"346",0,2,100,100,100,98
"347",3,0,98,98,95,98
"348",1,0,98,98,97,98
"349",0,0,99,99,99,99
"350",0,0,98,98,98,98
"351",0,0,100,100,100,100
"352",0,0,99,99,99,99
"353",0,1,99,99,99,98
"354",3,6,99,99,96,93
"355",0,0,99,99,99,99
"356",0,1,100,100,100,99
"357",37,23,100,100,63,77
"358",25,6,98,98,73,92
"359",26,0,99,99,73,99
"360",1,0,100,100,99,100
"361",0,0,97,98,97,98
"362",15,0,100,100,85,100
"363",0,5,99,99,99,94
"364",0,0,98,98,98,98
"365",0,0,99,99,99,99
"366",0,0,98,98,98,98
"367",0,3,100,100,100,97
"368",0,0,100,100,100,100
"369",0,0,100,100,100,100
"370",11,0,100,100,89,100
"371",1,4,99,99,98,95
"372",0,0,99,99,99,99
"373",0,2,99,99,99,97
"374",2,1,100,100,98,99
"375",0,3,99,99,99,96
"376",2,1,100,100,98,99
"377",9,2,99,99,90,97
"378",1,5,99,99,98,94
"379",1,0,98,98,97,98
"380",0,0,99,99,99,99
"381",0,1,100,100,100,99
"382",8,22,99,99,91,77
"383",0,0,94,93,94,93
"384",0,2,98,98,98,96
"385",0,5,99,99,99,94
"386",0,0,99,99,99,99
"387",0,1,99,99,99,98
"388",5,0,100,100,95,100
"389",2,0,99,99,97,99
"390",11,28,100,100,89,72
"391",0,0,100,100,100,100
"392",3,2,99,99,96,97
"393",0,0,100,100,100,100
"394",1,0,100,100,99,100
"395",1,2,99,99,98,97
"396",1,6,100,100,99,94
"397",0,0,99,99,99,99
"398",1,0,99,99,98,99
"399",0,3,98,98,98,95
"400",0,0,99,98,99,98
"401",0,1,98,98,98,97
"402",0,0,98,98,98,98
"403",1,0,98,98,97,98
"404",1,15,99,99,98,84
"405",0,6,98,98,98,92
"406",1,7,100,100,99,93
"407",0,0,100,100,100,100
"408",0,0,99,99,99,99
"409",0,0,99,99,99,99
"410",0,0,98,98,98,98
"411",0,0,100,100,100,100
"412",0,0,100,100,100,100
"413",0,0,100,100,100,100
"414",0,0,99,99,99,99
"415",1,8,100,100,99,92
"416",0,0,100,100,100,100
"417",8,0,100,100,92,100
"418",0,6,99,99,99,93
"419",0,0,99,99,99,99
"420",0,1,99,99,99,98
"421",1,4,99,99,98,95
"422",0,0,99,99,99,99
"423",1,4,100,100,99,96
"424",1,2,99,99,98,97
"425",0,0,100,100,100,100
"426",0,0,99,99,99,99
"427",0,0,99,99,99,99
"428",0,0,99,99,99,99
"429",5,0,98,98,93,98
"430",0,2,99,99,99,97
"431",2,12,100,100,98,88
"432",7,6,98,98,91,92
"433",0,0,97,97,97,97
"434",0,9,100,100,100,91
"435",7,26,100,100,93,74
"436",0,0,98,98,98,98
"437",13,2,100,100,87,98
"438",0,0,100,100,100,100
"439",0,0,100,100,100,100
"440",11,10,98,98,87,88
"441",0,5,98,98,98,93
"442",0,0,99,99,99,99
"443",4,2,100,100,96,98
"444",0,1,99,99,99,98
"445",7,2,99,99,92,97
"446",0,0,98,98,98,98
"447",0,9,100,100,100,91
"448",0,0,98,98,98,98
"449",0,1,99,99,99,98
"450",0,0,100,100,100,100
"451",0,0,99,99,99,99
"452",0,5,98,98,98,93
"453",0,0,100,100,100,100
"454",0,0,99,99,99,99
"455",0,0,100,100,100,100
"456",0,0,99,99,99,99
"457",3,2,99,99,96,97
"458",0,1,99,99,99,98
"459",0,1,99,99,99,98
"460",1,0,100,100,99,100
"461",0,0,99,99,99,99
"462",0,0,98,98,98,98
"463",11,6,96,96,85,90
"464",0,6,97,97,97,91
"465",8,4,100,100,92,96
"466",0,6,98,98,98,92
"467",1,3,99,99,98,96
"468",0,0,100,100,100,100
"469",0,1,100,100,100,99
"470",2,2,100,100,98,98
"471",0,0,100,100,100,100
"472",0,0,100,100,100,100
"473",1,11,100,100,99,89
"474",7,18,100,100,93,82
"475",0,0,96,96,96,96
"476",5,0,100,100,95,100
"477",7,8,100,100,93,92
"478",4,1,98,98,94,97
"479",0,2,99,99,99,97
"480",23,13,99,99,76,86
"481",2,1,98,98,96,97
"482",1,2,98,98,97,96
"483",1,4,99,99,98,95
"484",0,0,98,98,98,98
"485",0,3,99,99,99,96
"486",3,0,100,100,97,100
"487",0,2,100,100,100,98
"488",3,1,100,100,97,99
"489",4,9,99,99,95,90
"490",2,10,99,99,97,89
"491",0,0,100,100,100,100
"492",0,6,99,99,99,93
"493",0,1,100,100,100,99
"494",0,1,99,99,99,98
"495",1,1,99,99,98,98
"496",0,8,99,99,99,91
"497",0,2,99,99,99,97
"498",0,0,99,99,99,99
"499",0,0,100,100,100,100
"500",0,1,99,99,99,98
"501",0,0,99,99,99,99
"502",0,0,100,100,100,100
"503",0,1,100,100,100,99
"504",4,0,99,96,95,96
"505",12,29,100,100,88,71
"506",0,1,99,99,99,98
"507",0,1,100,100,100,99
"508",13,11,99,99,86,88
"509",4,1,100,100,96,99
"510",0,3,98,98,98,95
"511",0,0,100,100,100,100
"512",0,0,100,100,100,100
"513",0,3,98,98,98,95
"514",13,11,100,100,87,89
"515",0,3,98,98,98,95
"516",0,2,98,98,98,96
"517",0,0,100,100,100,100
"518",0,0,100,100,100,100
"519",4,0,99,99,95,99
"520",2,0,100,100,98,100
"521",1,0,99,99,98,99
"522",0,0,100,100,100,100
"523",0,1,100,100,100,99
"524",5,19,100,100,95,81
"525",0,0,98,98,98,98
"526",0,10,99,99,99,89
"527",5,5,99,99,94,94
"528",0,0,100,100,100,100
"529",0,8,98,98,98,90
"530",0,0,100,100,100,100
"531",0,0,100,100,100,100
"532",15,2,100,100,85,98
"533",0,0,98,98,98,98
"534",0,1,100,100,100,99
"535",0,0,99,99,99,99
"536",0,0,100,100,100,100
"537",1,0,97,97,96,97
"538",0,0,100,100,100,100
"539",1,8,100,100,99,92
"540",1,4,96,99,95,95
"541",0,4,100,100,100,96
"542",0,0,100,100,100,100
"543",0,7,100,100,100,93
"544",3,11,100,100,97,89
"545",0,0,98,98,98,98
"546",1,0,96,96,95,96
"547",1,10,100,100,99,90
"548",0,0,98,97,98,97
"549",0,0,97,97,97,97
"550",0,0,99,99,99,99
"551",0,0,100,100,100,100
"552",0,0,100,100,100,100
"553",0,0,98,98,98,98
"554",0,0,100,100,100,100
"555",1,1,99,99,98,98
"556",0,4,98,98,98,94
"557",0,8,99,99,99,91
"558",0,0,98,98,98,98
"559",0,0,99,99,99,99
"560",1,0,99,99,98,99
"561",2,10,100,100,98,90
"562",0,0,100,100,100,100
"563",4,19,99,99,95,80
"564",1,0,99,99,98,99
"565",4,2,100,100,96,98
"566",0,1,97,97,97,96
"567",1,5,98,98,97,93
"568",0,0,99,99,99,99
"569",3,0,100,100,97,100
"570",0,0,100,100,100,100
"571",12,2,100,100,88,98
"572",2,13,98,98,96,85
"573",0,2,96,97,96,95
"574",0,0,100,100,100,100
"575",2,20,98,98,96,78
"576",0,4,100,100,100,96
"577",0,1,100,100,100,99
"578",0,0,99,99,99,99
"579",0,2,100,100,100,98
"580",1,3,100,100,99,97
"581",0,0,99,99,99,99
"582",9,0,98,98,89,98
"583",2,1,99,99,97,98
"584",0,12,100,100,100,88
"585",22,3,98,98,76,95
"586",2,0,97,97,95,97
"587",0,0,99,99,99,99
"588",0,0,99,99,99,99
"589",1,2,98,98,97,96
"590",0,8,100,100,100,92
"591",9,1,100,100,91,99
"592",0,0,100,100,100,100
"593",8,0,100,100,92,100
"594",0,1,100,100,100,99
"595",0,3,99,99,99,96
"596",12,1,99,99,87,98
"597",1,0,100,100,99,100
"598",0,0,99,99,99,99
"599",1,14,99,99,98,85
"600",0,0,99,99,99,99
"601",9,3,100,100,91,97
"602",0,0,100,100,100,100
"603",0,1,99,99,99,98
"604",0,0,99,99,99,99
"605",0,1,97,97,97,96
"606",8,15,98,98,90,83
"607",0,3,100,100,100,97
"608",0,6,99,99,99,93
"609",16,15,100,100,84,85
"610",2,0,100,100,98,100
"611",3,0,100,100,97,100
"612",0,5,99,99,99,94
"613",0,2,98,98,98,96
"614",1,0,97,96,96,96
"615",0,8,100,100,100,92
"616",0,0,100,100,100,100
"617",0,2,99,99,99,97
"618",0,0,100,100,100,100
"619",0,7,97,97,97,90
"620",0,1,100,100,100,99
"621",0,6,99,99,99,93
